"TF","gene_name","n_files_with_binding","total_overlapping_peaks","cell_lines","file_accessions"
"CREM","MICA",28,69,"HepG2; K562","ENCFF005YCH; ENCFF021XJN; ENCFF038RMT; ENCFF045YGD; ENCFF092MMG; ENCFF159OAX; ENCFF178MQH; ENCFF229MGY; ENCFF290UGF; ENCFF294TKX; ENCFF324ELP; ENCFF449HZP; ENCFF458IFS; ENCFF462MIM; ENCFF602FXU; ENCFF646QEC; ENCFF671MMC; ENCFF675MHT; ENCFF744YKK; ENCFF780NWP; ENCFF801JTS; ENCFF812MVF; ENCFF832RYO; ENCFF856HFW; ENCFF871PDU; ENCFF894HZY; ENCFF908LNO; ENCFF916WZZ"
"CREM","MICB",23,54,"HepG2; K562","ENCFF005YCH; ENCFF021XJN; ENCFF038RMT; ENCFF045SMN; ENCFF045YGD; ENCFF148ERZ; ENCFF159OAX; ENCFF178MQH; ENCFF294TKX; ENCFF324ELP; ENCFF357OAA; ENCFF449HZP; ENCFF462MIM; ENCFF477IXW; ENCFF602FXU; ENCFF646QEC; ENCFF671MMC; ENCFF675MHT; ENCFF780NWP; ENCFF801JTS; ENCFF812MVF; ENCFF832RYO; ENCFF856HFW"
"CREM","RAET1E",17,28,"HepG2; K562","ENCFF021XJN; ENCFF029FHZ; ENCFF038RMT; ENCFF045SMN; ENCFF159OAX; ENCFF178MQH; ENCFF294TKX; ENCFF324ELP; ENCFF467KJE; ENCFF477IXW; ENCFF602FXU; ENCFF646QEC; ENCFF671MMC; ENCFF675MHT; ENCFF801JTS; ENCFF832RYO; ENCFF997CFJ"
"CREM","RAET1G",14,21,"HepG2; K562","ENCFF029FHZ; ENCFF045YGD; ENCFF063CRS; ENCFF148ERZ; ENCFF178MQH; ENCFF294TKX; ENCFF357OAA; ENCFF458IFS; ENCFF467KJE; ENCFF602FXU; ENCFF671MMC; ENCFF675MHT; ENCFF801JTS; ENCFF894HZY"
"CREM","RAET1L",10,14,"HepG2; K562","ENCFF029FHZ; ENCFF063CRS; ENCFF294TKX; ENCFF357OAA; ENCFF467KJE; ENCFF477IXW; ENCFF602FXU; ENCFF675MHT; ENCFF801JTS; ENCFF894HZY"
"CREM","ULBP1",15,16,"HepG2; K562","ENCFF021XJN; ENCFF038RMT; ENCFF045YGD; ENCFF159OAX; ENCFF178MQH; ENCFF294TKX; ENCFF324ELP; ENCFF449HZP; ENCFF462MIM; ENCFF602FXU; ENCFF646QEC; ENCFF671MMC; ENCFF675MHT; ENCFF812MVF; ENCFF832RYO"
"CREM","ULBP2",16,16,"HepG2; K562","ENCFF021XJN; ENCFF038RMT; ENCFF045SMN; ENCFF159OAX; ENCFF178MQH; ENCFF294TKX; ENCFF324ELP; ENCFF449HZP; ENCFF602FXU; ENCFF646QEC; ENCFF671MMC; ENCFF675MHT; ENCFF801JTS; ENCFF812MVF; ENCFF832RYO; ENCFF856HFW"
"CREM","ULBP3",16,38,"HepG2; K562","ENCFF029FHZ; ENCFF045SMN; ENCFF063CRS; ENCFF294TKX; ENCFF357OAA; ENCFF467KJE; ENCFF477IXW; ENCFF569NVH; ENCFF602FXU; ENCFF671MMC; ENCFF675MHT; ENCFF693JHE; ENCFF744NXL; ENCFF894HZY; ENCFF948TXN; ENCFF997CFJ"
"CXXC5","MICA",8,33,"K562","ENCFF173XCU; ENCFF328ADS; ENCFF394HTV; ENCFF646BPT; ENCFF705JZP; ENCFF707UQK; ENCFF798LLI; ENCFF843LLP"
"CXXC5","MICB",8,22,"K562","ENCFF173XCU; ENCFF328ADS; ENCFF394HTV; ENCFF646BPT; ENCFF705JZP; ENCFF707UQK; ENCFF798LLI; ENCFF843LLP"
"CXXC5","RAET1G",4,4,"K562","ENCFF173XCU; ENCFF328ADS; ENCFF646BPT; ENCFF843LLP"
"CXXC5","RAET1L",2,2,"K562","ENCFF328ADS; ENCFF843LLP"
"CXXC5","ULBP1",8,9,"K562","ENCFF173XCU; ENCFF328ADS; ENCFF394HTV; ENCFF646BPT; ENCFF705JZP; ENCFF707UQK; ENCFF798LLI; ENCFF843LLP"
"CXXC5","ULBP2",8,13,"K562","ENCFF173XCU; ENCFF328ADS; ENCFF394HTV; ENCFF646BPT; ENCFF705JZP; ENCFF707UQK; ENCFF798LLI; ENCFF843LLP"
"CXXC5","ULBP3",4,6,"K562","ENCFF173XCU; ENCFF328ADS; ENCFF646BPT; ENCFF843LLP"
"DDIT3","MICA",8,17,"HepG2; K562","ENCFF021RKC; ENCFF061YUC; ENCFF074MLM; ENCFF150YBL; ENCFF536QLN; ENCFF941DKJ; ENCFF991BTK; ENCFF992EMY"
"DDIT3","MICB",5,5,"HepG2; K562","ENCFF021RKC; ENCFF061YUC; ENCFF074MLM; ENCFF150YBL; ENCFF941DKJ"
"DDIT3","RAET1E",1,1,"HepG2","ENCFF061YUC"
"DDIT3","RAET1L",1,1,"K562","ENCFF941DKJ"
"DDIT3","ULBP1",4,9,"K562","ENCFF021RKC; ENCFF941DKJ; ENCFF991BTK; ENCFF992EMY"
"DDIT3","ULBP2",1,1,"K562","ENCFF991BTK"
"DDIT3","ULBP3",2,2,"K562","ENCFF941DKJ; ENCFF991BTK"
"ELK1","MICA",24,45,"A549; HeLa-S3; HepG2; K562; MCF-7","ENCFF100QYV; ENCFF119SCQ; ENCFF327GOE; ENCFF382JSK; ENCFF408WSW; ENCFF430ODT; ENCFF453ZWL; ENCFF473EXK; ENCFF490IWP; ENCFF527ABX; ENCFF554SLQ; ENCFF712LHO; ENCFF715FIV; ENCFF715WGN; ENCFF739MPC; ENCFF741ZMC; ENCFF756VXZ; ENCFF762ZSW; ENCFF769DHC; ENCFF809LIA; ENCFF812MIH; ENCFF834TBQ; ENCFF917XVU; ENCFF952EQA"
"ELK1","MICB",17,26,"A549; HeLa-S3; HepG2; K562; MCF-7","ENCFF044AVI; ENCFF324CAS; ENCFF327GOE; ENCFF382JSK; ENCFF390VNW; ENCFF453ZWL; ENCFF473EXK; ENCFF527ABX; ENCFF670YGF; ENCFF741ZMC; ENCFF769DHC; ENCFF789XUC; ENCFF812MIH; ENCFF834TBQ; ENCFF835QHY; ENCFF952EQA; ENCFF957PMF"
"ELK1","RAET1E",18,29,"HeLa-S3; HepG2; K562; MCF-7","ENCFF390VNW; ENCFF453ZWL; ENCFF473EXK; ENCFF527ABX; ENCFF712LHO; ENCFF715FIV; ENCFF756VXZ; ENCFF762ZSW; ENCFF789XUC; ENCFF812MIH; ENCFF834TBQ; ENCFF835QHY; ENCFF844UXU; ENCFF856LKK; ENCFF857FTE; ENCFF917XVU; ENCFF952EQA; ENCFF984QJL"
"ELK1","RAET1G",15,21,"HeLa-S3; HepG2; K562; MCF-7","ENCFF327GOE; ENCFF337VVE; ENCFF382JSK; ENCFF453ZWL; ENCFF527ABX; ENCFF715FIV; ENCFF741ZMC; ENCFF762ZSW; ENCFF789XUC; ENCFF844UXU; ENCFF856LKK; ENCFF927LSX; ENCFF952EQA; ENCFF957PMF; ENCFF984QJL"
"ELK1","RAET1L",8,10,"A549; HeLa-S3; K562; MCF-7","ENCFF044AVI; ENCFF430ODT; ENCFF712LHO; ENCFF812MIH; ENCFF844UXU; ENCFF917XVU; ENCFF927LSX; ENCFF984QJL"
"ELK1","ULBP1",18,36,"A549; HeLa-S3; K562; MCF-7","ENCFF134QFS; ENCFF324CAS; ENCFF327GOE; ENCFF337VVE; ENCFF382JSK; ENCFF453ZWL; ENCFF527ABX; ENCFF712LHO; ENCFF739MPC; ENCFF741ZMC; ENCFF762ZSW; ENCFF769DHC; ENCFF809LIA; ENCFF812MIH; ENCFF835QHY; ENCFF856LKK; ENCFF857FTE; ENCFF957PMF"
"ELK1","ULBP2",9,10,"A549; K562; MCF-7","ENCFF053GWO; ENCFF324CAS; ENCFF390VNW; ENCFF453ZWL; ENCFF527ABX; ENCFF649GJB; ENCFF670YGF; ENCFF812MIH; ENCFF844UXU"
"ELK1","ULBP3",22,40,"A549; HeLa-S3; HepG2; K562; MCF-7","ENCFF001VIJ; ENCFF001VNB; ENCFF044AVI; ENCFF053GWO; ENCFF324CAS; ENCFF337VVE; ENCFF382JSK; ENCFF390VNW; ENCFF453ZWL; ENCFF473EXK; ENCFF527ABX; ENCFF649GJB; ENCFF670YGF; ENCFF715FIV; ENCFF739MPC; ENCFF789XUC; ENCFF834TBQ; ENCFF835QHY; ENCFF844UXU; ENCFF856LKK; ENCFF927LSX; ENCFF952EQA"
"ESR1","MICA",3,3,"MCF-7","ENCFF117PBD; ENCFF814IGD; ENCFF900TXQ"
"ESR1","MICB",8,8,"MCF-7","ENCFF096TPC; ENCFF108XKR; ENCFF117PBD; ENCFF138XTJ; ENCFF178GXA; ENCFF185UUT; ENCFF814IGD; ENCFF900TXQ"
"ETS1","MICA",18,43,"HepG2; K562","ENCFF032LRC; ENCFF159OUK; ENCFF311ZHW; ENCFF339XVB; ENCFF341ODK; ENCFF356TLB; ENCFF412HOI; ENCFF539HGI; ENCFF543VME; ENCFF547APK; ENCFF661YIW; ENCFF697NJT; ENCFF772VRD; ENCFF780KUW; ENCFF896BPZ; ENCFF912HSU; ENCFF928OFV; ENCFF967WOD"
"ETS1","MICB",18,39,"HepG2; K562","ENCFF122POU; ENCFF128BVU; ENCFF159OUK; ENCFF338MRR; ENCFF339XVB; ENCFF356TLB; ENCFF461PRP; ENCFF539HGI; ENCFF543VME; ENCFF653DQM; ENCFF661YIW; ENCFF771MQQ; ENCFF780KUW; ENCFF886BDQ; ENCFF912HSU; ENCFF927YRG; ENCFF928OFV; ENCFF967WOD"
"ETS1","RAET1E",14,24,"HepG2; K562","ENCFF032LRC; ENCFF128BVU; ENCFF311ZHW; ENCFF338MRR; ENCFF412HOI; ENCFF539HGI; ENCFF543VME; ENCFF653DQM; ENCFF772VRD; ENCFF896BPZ; ENCFF912HSU; ENCFF927YRG; ENCFF928OFV; ENCFF967WOD"
"ETS1","RAET1G",17,32,"HepG2; K562","ENCFF032LRC; ENCFF128BVU; ENCFF311ZHW; ENCFF339XVB; ENCFF341ODK; ENCFF356TLB; ENCFF412HOI; ENCFF539HGI; ENCFF543VME; ENCFF653DQM; ENCFF661YIW; ENCFF771MQQ; ENCFF896BPZ; ENCFF912HSU; ENCFF927YRG; ENCFF928OFV; ENCFF967WOD"
"ETS1","RAET1L",6,7,"HepG2; K562","ENCFF128BVU; ENCFF338MRR; ENCFF543VME; ENCFF771MQQ; ENCFF912HSU; ENCFF927YRG"
"ETS1","ULBP1",23,42,"HepG2; K562","ENCFF032LRC; ENCFF128BVU; ENCFF159OUK; ENCFF311ZHW; ENCFF338MRR; ENCFF339XVB; ENCFF341ODK; ENCFF356TLB; ENCFF461PRP; ENCFF539HGI; ENCFF543VME; ENCFF547APK; ENCFF563KFG; ENCFF749DAY; ENCFF771MQQ; ENCFF772VRD; ENCFF780KUW; ENCFF886BDQ; ENCFF896BPZ; ENCFF912HSU; ENCFF927YRG; ENCFF928OFV; ENCFF937MJN"
"ETS1","ULBP2",10,25,"HepG2; K562","ENCFF311ZHW; ENCFF339XVB; ENCFF356TLB; ENCFF543VME; ENCFF780KUW; ENCFF886BDQ; ENCFF912HSU; ENCFF927YRG; ENCFF928OFV; ENCFF937MJN"
"ETS1","ULBP3",19,30,"HepG2; K562","ENCFF001UJV; ENCFF001UJW; ENCFF002CLX; ENCFF032LRC; ENCFF076YZO; ENCFF122POU; ENCFF128BVU; ENCFF338MRR; ENCFF341ODK; ENCFF356TLB; ENCFF661YIW; ENCFF749DAY; ENCFF771MQQ; ENCFF772VRD; ENCFF780KUW; ENCFF912HSU; ENCFF927YRG; ENCFF928OFV; ENCFF967WOD"
"ETS2","MICA",10,19,"K562","ENCFF222IQO; ENCFF331IWR; ENCFF333QUP; ENCFF493PSP; ENCFF515APP; ENCFF680TLE; ENCFF746HGW; ENCFF804AYO; ENCFF834LHN; ENCFF906QCP"
"ETS2","MICB",4,6,"K562","ENCFF331IWR; ENCFF333QUP; ENCFF515APP; ENCFF834LHN"
"ETS2","RAET1E",3,5,"K562","ENCFF331IWR; ENCFF333QUP; ENCFF834LHN"
"ETS2","RAET1G",4,4,"K562","ENCFF331IWR; ENCFF333QUP; ENCFF515APP; ENCFF834LHN"
"ETS2","RAET1L",3,4,"K562","ENCFF331IWR; ENCFF515APP; ENCFF804AYO"
"ETS2","ULBP1",8,13,"K562","ENCFF331IWR; ENCFF333QUP; ENCFF515APP; ENCFF746HGW; ENCFF804AYO; ENCFF834LHN; ENCFF906QCP; ENCFF982UOO"
"ETS2","ULBP2",7,9,"K562","ENCFF331IWR; ENCFF333QUP; ENCFF515APP; ENCFF746HGW; ENCFF834LHN; ENCFF906QCP; ENCFF982UOO"
"ETS2","ULBP3",8,18,"K562","ENCFF331IWR; ENCFF333QUP; ENCFF515APP; ENCFF680TLE; ENCFF804AYO; ENCFF834LHN; ENCFF906QCP; ENCFF982UOO"
"FOS","MICA",12,16,"K562; MCF-7","ENCFF002LMY; ENCFF154BFR; ENCFF170POB; ENCFF289NSB; ENCFF306INL; ENCFF458JNP; ENCFF519VZH; ENCFF673PVH; ENCFF802VUA; ENCFF806IOG; ENCFF888RBY; ENCFF890YVJ"
"FOS","MICB",10,15,"K562; MCF-7","ENCFF001VRH; ENCFF002DDV; ENCFF002LMY; ENCFF124QJZ; ENCFF458JNP; ENCFF540SXF; ENCFF663JQC; ENCFF673PVH; ENCFF834BCC; ENCFF965AIZ"
"FOS","RAET1E",17,41,"HeLa-S3; MCF-7","ENCFF002LMY; ENCFF124QJZ; ENCFF170POB; ENCFF289NSB; ENCFF306INL; ENCFF440AEH; ENCFF454SZB; ENCFF458JNP; ENCFF494YNM; ENCFF519VZH; ENCFF540SXF; ENCFF673PVH; ENCFF676QWR; ENCFF802VUA; ENCFF806IOG; ENCFF888RBY; ENCFF890YVJ"
"FOS","RAET1G",12,12,"K562; MCF-7","ENCFF002LMY; ENCFF084IPM; ENCFF154BFR; ENCFF306INL; ENCFF335AUM; ENCFF458JNP; ENCFF548LWG; ENCFF586UHP; ENCFF673PVH; ENCFF802VUA; ENCFF806IOG; ENCFF888RBY"
"FOS","RAET1L",20,27,"HeLa-S3; K562; MCF-7","ENCFF002LMY; ENCFF170POB; ENCFF289NSB; ENCFF306INL; ENCFF335AUM; ENCFF440AEH; ENCFF454SZB; ENCFF458JNP; ENCFF494YNM; ENCFF519VZH; ENCFF540SXF; ENCFF549KXU; ENCFF673PVH; ENCFF676CVY; ENCFF676QWR; ENCFF736JLN; ENCFF802VUA; ENCFF806IOG; ENCFF888RBY; ENCFF890YVJ"
"FOS","ULBP1",13,25,"MCF-7","ENCFF002LMY; ENCFF170POB; ENCFF289NSB; ENCFF306INL; ENCFF458JNP; ENCFF519VZH; ENCFF549KXU; ENCFF673PVH; ENCFF676CVY; ENCFF802VUA; ENCFF806IOG; ENCFF888RBY; ENCFF890YVJ"
"FOS","ULBP2",17,20,"K562; MCF-7","ENCFF002LMY; ENCFF124QJZ; ENCFF170POB; ENCFF289NSB; ENCFF306INL; ENCFF335AUM; ENCFF458JNP; ENCFF519VZH; ENCFF548LWG; ENCFF549KXU; ENCFF586UHP; ENCFF673PVH; ENCFF676CVY; ENCFF802VUA; ENCFF806IOG; ENCFF888RBY; ENCFF890YVJ"
"FOS","ULBP3",14,18,"K562; MCF-7","ENCFF001VMH; ENCFF001VRH; ENCFF002CVW; ENCFF002LMY; ENCFF124QJZ; ENCFF289NSB; ENCFF306INL; ENCFF458JNP; ENCFF540SXF; ENCFF673PVH; ENCFF802VUA; ENCFF806IOG; ENCFF834BCC; ENCFF888RBY"
"FOSB","MICA",2,2,"A549","ENCFF026HDR; ENCFF292KXY"
"FOSB","MICB",1,1,"A549","ENCFF814KHN"
"FOSB","RAET1E",1,1,"A549","ENCFF814KHN"
"FOSL1","MICA",31,81,"HCT116; HepG2; K562","ENCFF128CKT; ENCFF151FYK; ENCFF154YRC; ENCFF155DSJ; ENCFF170SAA; ENCFF195SKU; ENCFF207LLP; ENCFF216IJX; ENCFF256NXT; ENCFF267ADF; ENCFF289BNT; ENCFF292LKA; ENCFF352JPL; ENCFF357FTV; ENCFF390OQF; ENCFF400JWL; ENCFF427ISY; ENCFF449GIJ; ENCFF485TYY; ENCFF497SIC; ENCFF532HOG; ENCFF559XFS; ENCFF628WAN; ENCFF649UBD; ENCFF706LPK; ENCFF717XZJ; ENCFF784CXA; ENCFF841ZQQ; ENCFF936WPZ; ENCFF942CQT; ENCFF949HSF"
"FOSL1","MICB",24,55,"HepG2; K562","ENCFF151FYK; ENCFF154YRC; ENCFF170SAA; ENCFF195SKU; ENCFF256NXT; ENCFF267ADF; ENCFF292LKA; ENCFF352JPL; ENCFF357FTV; ENCFF400JWL; ENCFF449GIJ; ENCFF485TYY; ENCFF559XFS; ENCFF649UBD; ENCFF692PVV; ENCFF717XZJ; ENCFF753OLX; ENCFF784CXA; ENCFF818IMH; ENCFF841ZQQ; ENCFF877UDE; ENCFF907RDS; ENCFF912QBK; ENCFF949HSF"
"FOSL1","RAET1E",22,56,"HCT116; K562","ENCFF154YRC; ENCFF170SAA; ENCFF207LLP; ENCFF267ADF; ENCFF289BNT; ENCFF292LKA; ENCFF352JPL; ENCFF357FTV; ENCFF390OQF; ENCFF427ISY; ENCFF485TYY; ENCFF491ALL; ENCFF628WAN; ENCFF649UBD; ENCFF706LPK; ENCFF717XZJ; ENCFF784CXA; ENCFF818IMH; ENCFF841ZQQ; ENCFF936WPZ; ENCFF942CQT; ENCFF943XZE"
"FOSL1","RAET1G",11,15,"HepG2; K562","ENCFF267ADF; ENCFF352JPL; ENCFF449GIJ; ENCFF485TYY; ENCFF559XFS; ENCFF717XZJ; ENCFF784CXA; ENCFF818IMH; ENCFF841ZQQ; ENCFF912QBK; ENCFF949HSF"
"FOSL1","RAET1L",28,56,"HCT116; K562","ENCFF128CKT; ENCFF151FYK; ENCFF154YRC; ENCFF155DSJ; ENCFF170SAA; ENCFF195SKU; ENCFF256NXT; ENCFF267ADF; ENCFF289BNT; ENCFF292LKA; ENCFF352JPL; ENCFF357FTV; ENCFF390OQF; ENCFF400JWL; ENCFF427ISY; ENCFF485TYY; ENCFF491ALL; ENCFF649UBD; ENCFF706LPK; ENCFF717XZJ; ENCFF784CXA; ENCFF818IMH; ENCFF841ZQQ; ENCFF877UDE; ENCFF907RDS; ENCFF936WPZ; ENCFF942CQT; ENCFF943XZE"
"FOSL1","ULBP1",23,49,"HepG2; K562","ENCFF116BWX; ENCFF128CKT; ENCFF151FYK; ENCFF154YRC; ENCFF155DSJ; ENCFF170SAA; ENCFF195SKU; ENCFF207LLP; ENCFF216IJX; ENCFF256NXT; ENCFF267ADF; ENCFF292LKA; ENCFF351GVF; ENCFF352JPL; ENCFF357FTV; ENCFF485TYY; ENCFF559XFS; ENCFF628WAN; ENCFF649UBD; ENCFF717XZJ; ENCFF784CXA; ENCFF841ZQQ; ENCFF877UDE"
"FOSL1","ULBP2",18,32,"K562","ENCFF151FYK; ENCFF154YRC; ENCFF155DSJ; ENCFF170SAA; ENCFF207LLP; ENCFF216IJX; ENCFF256NXT; ENCFF267ADF; ENCFF292LKA; ENCFF352JPL; ENCFF357FTV; ENCFF485TYY; ENCFF649UBD; ENCFF717XZJ; ENCFF784CXA; ENCFF841ZQQ; ENCFF877UDE; ENCFF912QBK"
"FOSL1","ULBP3",17,40,"HepG2; K562","ENCFF001UJX; ENCFF001UJY; ENCFF002CLY; ENCFF170SAA; ENCFF267ADF; ENCFF352JPL; ENCFF400JWL; ENCFF449GIJ; ENCFF559XFS; ENCFF692PVV; ENCFF753OLX; ENCFF818IMH; ENCFF841ZQQ; ENCFF877UDE; ENCFF907RDS; ENCFF912QBK; ENCFF949HSF"
"FOSL2","MICA",46,95,"A549; HepG2; MCF-7; SK-N-SH","ENCFF055WOU; ENCFF075JEN; ENCFF084CVA; ENCFF155UGM; ENCFF157GJO; ENCFF185QGO; ENCFF200ULH; ENCFF209EPG; ENCFF232TVP; ENCFF236NST; ENCFF303HLV; ENCFF320UWD; ENCFF364YWX; ENCFF366RJW; ENCFF401HSI; ENCFF423KOE; ENCFF441JLH; ENCFF444OTS; ENCFF446LJZ; ENCFF446XBE; ENCFF457SCY; ENCFF461EVQ; ENCFF469RCT; ENCFF475KOQ; ENCFF486RMY; ENCFF506QUO; ENCFF533VYT; ENCFF556ZCT; ENCFF560WQA; ENCFF563LKK; ENCFF630IDY; ENCFF647IQD; ENCFF651QYC; ENCFF654IHK; ENCFF709YBY; ENCFF723PUY; ENCFF734XVK; ENCFF751QEY; ENCFF772SCR; ENCFF790HPY; ENCFF885JJG; ENCFF916GIW; ENCFF919VPG; ENCFF955ELD; ENCFF956AVI; ENCFF968HSD"
"FOSL2","MICB",27,42,"A549; HepG2; MCF-7; SK-N-SH","ENCFF001UFS; ENCFF054ESU; ENCFF055WOU; ENCFF084CVA; ENCFF155UGM; ENCFF200ULH; ENCFF236NST; ENCFF303HLV; ENCFF366RJW; ENCFF394UVI; ENCFF401HSI; ENCFF446XBE; ENCFF475KOQ; ENCFF486RMY; ENCFF533VYT; ENCFF563LKK; ENCFF599OQO; ENCFF620ZIR; ENCFF630IDY; ENCFF651QYC; ENCFF654IHK; ENCFF661ITW; ENCFF734XVK; ENCFF790HPY; ENCFF916GIW; ENCFF927BKR; ENCFF968HSD"
"FOSL2","RAET1E",34,64,"A549; HepG2; MCF-7; SK-N-SH","ENCFF055WOU; ENCFF075JEN; ENCFF084CVA; ENCFF155UGM; ENCFF185QGO; ENCFF209EPG; ENCFF232TVP; ENCFF303HLV; ENCFF364YWX; ENCFF366RJW; ENCFF394UVI; ENCFF441JLH; ENCFF444OTS; ENCFF449NJO; ENCFF457SCY; ENCFF461EVQ; ENCFF475KOQ; ENCFF486RMY; ENCFF533VYT; ENCFF556ZCT; ENCFF563LKK; ENCFF599OQO; ENCFF651QYC; ENCFF654IHK; ENCFF723PUY; ENCFF734XVK; ENCFF751QEY; ENCFF781IKQ; ENCFF790HPY; ENCFF801CZR; ENCFF885JJG; ENCFF927BKR; ENCFF955ELD; ENCFF992UMI"
"FOSL2","RAET1G",17,31,"HepG2; MCF-7","ENCFF055WOU; ENCFF084CVA; ENCFF155UGM; ENCFF236NST; ENCFF394UVI; ENCFF446XBE; ENCFF556ZCT; ENCFF599OQO; ENCFF620ZIR; ENCFF651QYC; ENCFF654IHK; ENCFF661ITW; ENCFF734XVK; ENCFF781IKQ; ENCFF790HPY; ENCFF927BKR; ENCFF968HSD"
"FOSL2","RAET1L",43,51,"A549; HepG2; MCF-7; SK-N-SH","ENCFF001UPB; ENCFF066CDB; ENCFF075JEN; ENCFF093ETJ; ENCFF155UGM; ENCFF158FOX; ENCFF185QGO; ENCFF192XQG; ENCFF209EPG; ENCFF303HLV; ENCFF366RJW; ENCFF369FZI; ENCFF394UVI; ENCFF423KOE; ENCFF441JLH; ENCFF444OTS; ENCFF457SCY; ENCFF461EVQ; ENCFF486RMY; ENCFF506QUO; ENCFF533VYT; ENCFF556ZCT; ENCFF563LKK; ENCFF651QYC; ENCFF654IHK; ENCFF709YBY; ENCFF723PUY; ENCFF734XVK; ENCFF751QEY; ENCFF753GRG; ENCFF781IKQ; ENCFF790HPY; ENCFF801CZR; ENCFF818TQX; ENCFF839UTU; ENCFF857LGS; ENCFF885JJG; ENCFF907FPY; ENCFF955ELD; ENCFF968HSD; ENCFF978WRQ; ENCFF992UMI; ENCFF998CZO"
"FOSL2","ULBP1",34,57,"A549; HepG2; MCF-7; SK-N-SH","ENCFF055WOU; ENCFF084CVA; ENCFF155UGM; ENCFF157GJO; ENCFF185QGO; ENCFF200ULH; ENCFF236NST; ENCFF303HLV; ENCFF366RJW; ENCFF401HSI; ENCFF423KOE; ENCFF441JLH; ENCFF444OTS; ENCFF446XBE; ENCFF449NJO; ENCFF461EVQ; ENCFF469RCT; ENCFF475KOQ; ENCFF486RMY; ENCFF556ZCT; ENCFF563LKK; ENCFF651QYC; ENCFF654IHK; ENCFF734XVK; ENCFF751QEY; ENCFF772SCR; ENCFF781IKQ; ENCFF790HPY; ENCFF801CZR; ENCFF885JJG; ENCFF907FPY; ENCFF955ELD; ENCFF968HSD; ENCFF992UMI"
"FOSL2","ULBP2",27,31,"A549; HepG2; MCF-7; SK-N-SH","ENCFF075JEN; ENCFF084CVA; ENCFF155UGM; ENCFF185QGO; ENCFF209EPG; ENCFF232TVP; ENCFF366RJW; ENCFF423KOE; ENCFF441JLH; ENCFF444OTS; ENCFF446LJZ; ENCFF461EVQ; ENCFF475KOQ; ENCFF486RMY; ENCFF533VYT; ENCFF556ZCT; ENCFF563LKK; ENCFF654IHK; ENCFF723PUY; ENCFF734XVK; ENCFF751QEY; ENCFF781IKQ; ENCFF885JJG; ENCFF907FPY; ENCFF955ELD; ENCFF978WRQ; ENCFF992UMI"
"FOSL2","ULBP3",45,64,"A549; HepG2; MCF-7; SK-N-SH","ENCFF001UFS; ENCFF001UFT; ENCFF002CKH; ENCFF055WOU; ENCFF075JEN; ENCFF084CVA; ENCFF155UGM; ENCFF185QGO; ENCFF200ULH; ENCFF209EPG; ENCFF232TVP; ENCFF303HLV; ENCFF366RJW; ENCFF395KPJ; ENCFF423KOE; ENCFF441JLH; ENCFF444OTS; ENCFF446LJZ; ENCFF446XBE; ENCFF449NJO; ENCFF457SCY; ENCFF461EVQ; ENCFF469RCT; ENCFF475KOQ; ENCFF486RMY; ENCFF533VYT; ENCFF563LKK; ENCFF620ZIR; ENCFF647IQD; ENCFF651QYC; ENCFF654IHK; ENCFF661ITW; ENCFF723PUY; ENCFF734XVK; ENCFF751QEY; ENCFF772SCR; ENCFF790HPY; ENCFF801CZR; ENCFF818TQX; ENCFF885JJG; ENCFF919VPG; ENCFF955ELD; ENCFF968HSD; ENCFF978WRQ; ENCFF992UMI"
"GATA3","MICA",22,36,"A549; MCF-7; SK-N-SH","ENCFF025YUC; ENCFF051JBT; ENCFF078MQH; ENCFF094MRW; ENCFF104DIC; ENCFF116LXB; ENCFF161DQL; ENCFF295KJW; ENCFF346EZD; ENCFF351FTQ; ENCFF374KZL; ENCFF406GRN; ENCFF466BIS; ENCFF557SHR; ENCFF565QWY; ENCFF619XDX; ENCFF779ANV; ENCFF805SRK; ENCFF829DNJ; ENCFF874LLH; ENCFF891ELE; ENCFF955EHX"
"GATA3","MICB",19,22,"MCF-7; SK-N-SH","ENCFF051JBT; ENCFF094MRW; ENCFF096MYL; ENCFF104DIC; ENCFF116LXB; ENCFF161DQL; ENCFF295KJW; ENCFF346EZD; ENCFF374KZL; ENCFF406GRN; ENCFF409OJR; ENCFF466BIS; ENCFF557SHR; ENCFF565QWY; ENCFF779ANV; ENCFF874LLH; ENCFF891ELE; ENCFF955EHX; ENCFF968PCO"
"GATA3","RAET1E",21,32,"A549; MCF-7; SK-N-SH","ENCFF025YUC; ENCFF051JBT; ENCFF078MQH; ENCFF104DIC; ENCFF116LXB; ENCFF346EZD; ENCFF351FTQ; ENCFF374KZL; ENCFF406GRN; ENCFF466BIS; ENCFF557SHR; ENCFF565QWY; ENCFF607YBS; ENCFF659KSX; ENCFF805SRK; ENCFF829DNJ; ENCFF833ZAC; ENCFF840JMH; ENCFF891ELE; ENCFF955EHX; ENCFF973FPV"
"GATA3","RAET1G",2,3,"MCF-7; SK-N-SH","ENCFF078MQH; ENCFF295KJW"
