"TF","gene_name","n_files_with_binding","total_overlapping_peaks","cell_lines","file_accessions"
"ATF3","MICB",39,78,"HepG2; K562","ENCFF005HSF; ENCFF012VKK; ENCFF015HEH; ENCFF034DTN; ENCFF126UIS; ENCFF146YXX; ENCFF151HWD; ENCFF164BVB; ENCFF181HMS; ENCFF183CZJ; ENCFF225ALT; ENCFF228PSB; ENCFF239HDN; ENCFF251XOI; ENCFF263MQY; ENCFF281ART; ENCFF291WLP; ENCFF292CHB; ENCFF296XNB; ENCFF303DKR; ENCFF343CSC; ENCFF414JVR; ENCFF432KKS; ENCFF435TZX; ENCFF480GLV; ENCFF484BZA; ENCFF528ESS; ENCFF561JSP; ENCFF650KQD; ENCFF725ZKM; ENCFF737ZGG; ENCFF806JZT; ENCFF820BLL; ENCFF878VTI; ENCFF881BHF; ENCFF931FKR; ENCFF958KNK; ENCFF963WVL; ENCFF980RKS"
"ATF3","RAET1E",28,44,"HepG2; K562","ENCFF012VKK; ENCFF015HEH; ENCFF151HWD; ENCFF198OWC; ENCFF225ALT; ENCFF239HDN; ENCFF251XOI; ENCFF263MQY; ENCFF281ART; ENCFF291WLP; ENCFF292CHB; ENCFF296XNB; ENCFF303DKR; ENCFF343CSC; ENCFF414JVR; ENCFF432KKS; ENCFF435TZX; ENCFF480GLV; ENCFF484BZA; ENCFF561JSP; ENCFF650KQD; ENCFF725ZKM; ENCFF803VVQ; ENCFF806JZT; ENCFF878VTI; ENCFF881BHF; ENCFF963WVL; ENCFF980RKS"
"ATF3","RAET1G",18,23,"HepG2; K562","ENCFF012VKK; ENCFF034DTN; ENCFF151HWD; ENCFF164BVB; ENCFF183CZJ; ENCFF198OWC; ENCFF263MQY; ENCFF281ART; ENCFF303DKR; ENCFF343CSC; ENCFF414JVR; ENCFF435TZX; ENCFF480GLV; ENCFF528ESS; ENCFF650KQD; ENCFF725ZKM; ENCFF878VTI; ENCFF963WVL"
"ATF3","RAET1L",27,37,"HepG2; K562","ENCFF005HSF; ENCFF011BHF; ENCFF012VKK; ENCFF027EFG; ENCFF034DTN; ENCFF119XUN; ENCFF126UIS; ENCFF151HWD; ENCFF164BVB; ENCFF225ALT; ENCFF239HDN; ENCFF251XOI; ENCFF263MQY; ENCFF281ART; ENCFF291WLP; ENCFF292CHB; ENCFF360USH; ENCFF435TZX; ENCFF480GLV; ENCFF556SMM; ENCFF561JSP; ENCFF650KQD; ENCFF725ZKM; ENCFF803VVQ; ENCFF881BHF; ENCFF937OKC; ENCFF980RKS"
"ATF3","ULBP1",71,106,"HCT116; HepG2; K562","ENCFF005HSF; ENCFF011BHF; ENCFF012VKK; ENCFF015HEH; ENCFF027EFG; ENCFF034DTN; ENCFF070EHR; ENCFF095QYP; ENCFF107DBQ; ENCFF119XUN; ENCFF122HFP; ENCFF126UIS; ENCFF145FYQ; ENCFF151HWD; ENCFF164BVB; ENCFF183CZJ; ENCFF210JFM; ENCFF225ALT; ENCFF239HDN; ENCFF246USC; ENCFF250BQT; ENCFF251XOI; ENCFF265AHI; ENCFF274SLL; ENCFF291WLP; ENCFF292CHB; ENCFF296XNB; ENCFF323BVF; ENCFF343CSC; ENCFF344UMM; ENCFF349HIP; ENCFF360BUQ; ENCFF360USH; ENCFF364WAT; ENCFF414JVR; ENCFF419WTZ; ENCFF432KKS; ENCFF449TJA; ENCFF467WOR; ENCFF480GLV; ENCFF484BZA; ENCFF492ZNK; ENCFF495DDK; ENCFF528ESS; ENCFF556SMM; ENCFF561JSP; ENCFF605TNJ; ENCFF650KQD; ENCFF659GZT; ENCFF680XCW; ENCFF718VHT; ENCFF725ZKM; ENCFF731SIP; ENCFF751OAG; ENCFF759DAM; ENCFF796WJW; ENCFF802GAH; ENCFF803MOB; ENCFF803VVQ; ENCFF806JZT; ENCFF878VTI; ENCFF881BHF; ENCFF891BJN; ENCFF894JDF; ENCFF902TDN; ENCFF931FKR; ENCFF933NVI; ENCFF937OKC; ENCFF963WVL; ENCFF976FTM; ENCFF980RKS"
"ATF3","ULBP2",29,36,"HepG2; K562","ENCFF034DTN; ENCFF119XUN; ENCFF122HFP; ENCFF126UIS; ENCFF145FYQ; ENCFF151HWD; ENCFF164BVB; ENCFF210JFM; ENCFF225ALT; ENCFF239HDN; ENCFF263MQY; ENCFF292CHB; ENCFF296XNB; ENCFF303DKR; ENCFF360USH; ENCFF435TZX; ENCFF480GLV; ENCFF495DDK; ENCFF528ESS; ENCFF556SMM; ENCFF561JSP; ENCFF650KQD; ENCFF725ZKM; ENCFF806JZT; ENCFF878VTI; ENCFF881BHF; ENCFF931FKR; ENCFF937OKC; ENCFF980RKS"
"ATF3","ULBP3",33,63,"HepG2; K562","ENCFF001UIW; ENCFF001UIY; ENCFF012VKK; ENCFF015HEH; ENCFF034DTN; ENCFF119XUN; ENCFF126UIS; ENCFF146YXX; ENCFF151HWD; ENCFF164BVB; ENCFF183CZJ; ENCFF228PSB; ENCFF246USC; ENCFF251XOI; ENCFF263MQY; ENCFF281ART; ENCFF291WLP; ENCFF292CHB; ENCFF296XNB; ENCFF303DKR; ENCFF343CSC; ENCFF435TZX; ENCFF484BZA; ENCFF561JSP; ENCFF650KQD; ENCFF725ZKM; ENCFF737ZGG; ENCFF803VVQ; ENCFF820BLL; ENCFF878VTI; ENCFF931FKR; ENCFF958KNK; ENCFF980RKS"
"ATF4","MICA",29,69,"HepG2; K562","ENCFF003DIJ; ENCFF121PUN; ENCFF182MNO; ENCFF244ROK; ENCFF271QTZ; ENCFF291XES; ENCFF357COB; ENCFF359LNM; ENCFF387VTI; ENCFF429QTL; ENCFF467EGX; ENCFF483XFR; ENCFF510BCH; ENCFF519GKM; ENCFF548UHD; ENCFF607BPI; ENCFF646IHV; ENCFF662WXX; ENCFF771LVW; ENCFF774BEC; ENCFF790XQI; ENCFF827GWN; ENCFF872NFM; ENCFF905VLK; ENCFF907SPZ; ENCFF921XMX; ENCFF935TYN; ENCFF947KSU; ENCFF970NGB"
"ATF4","MICB",16,39,"HepG2; K562","ENCFF003DIJ; ENCFF271QTZ; ENCFF359LNM; ENCFF387VTI; ENCFF429QTL; ENCFF467EGX; ENCFF483XFR; ENCFF491DNM; ENCFF548UHD; ENCFF662WXX; ENCFF710IEF; ENCFF827GWN; ENCFF872NFM; ENCFF921XMX; ENCFF947KSU; ENCFF970NGB"
"ATF4","RAET1E",4,5,"HepG2; K562","ENCFF244ROK; ENCFF271QTZ; ENCFF291XES; ENCFF827GWN"
