"file","file_name","file_accession","TF_clean","cell_line","assay","output_type","file_format"
"./ENCFF712ZNR.bed.gz","ENCFF712ZNR.bed.gz","ENCFF712ZNR","CEBPB","K562","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF713SOV.bed.gz","ENCFF713SOV.bed.gz","ENCFF713SOV","ARNT2","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF714MVQ.bed.gz","ENCFF714MVQ.bed.gz","ENCFF714MVQ","NFE2","K562","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF715FIV.bed.gz","ENCFF715FIV.bed.gz","ENCFF715FIV","ELK1","HepG2","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF715PLB.bed.gz","ENCFF715PLB.bed.gz","ENCFF715PLB","ATF1","K562","TF ChIP-seq","optimal IDR thresholded peaks","bed narrowPeak"
"./ENCFF715TUS.bed.gz","ENCFF715TUS.bed.gz","ENCFF715TUS","JUND","T47D","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF715WGN.bed.gz","ENCFF715WGN.bed.gz","ENCFF715WGN","ELK1","K562","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF715WON.bed.gz","ENCFF715WON.bed.gz","ENCFF715WON","MAFK","K562","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF716DUT.bed.gz","ENCFF716DUT.bed.gz","ENCFF716DUT","JUN","A549","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF716IBZ.bed.gz","ENCFF716IBZ.bed.gz","ENCFF716IBZ","JUND","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF716JKY.bed.gz","ENCFF716JKY.bed.gz","ENCFF716JKY","CEBPB","MCF-7","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF716UCP.bed.gz","ENCFF716UCP.bed.gz","ENCFF716UCP","ATF7","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF717JGJ.bed.gz","ENCFF717JGJ.bed.gz","ENCFF717JGJ","CEBPB","HepG2","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF717XZJ.bed.gz","ENCFF717XZJ.bed.gz","ENCFF717XZJ","FOSL1","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF718AYW.bed.gz","ENCFF718AYW.bed.gz","ENCFF718AYW","JUN","MCF-7","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF718CQQ.bed.gz","ENCFF718CQQ.bed.gz","ENCFF718CQQ","MAFK","HepG2","TF ChIP-seq","optimal IDR thresholded peaks","bed narrowPeak"
"./ENCFF718MNT.bed.gz","ENCFF718MNT.bed.gz","ENCFF718MNT","JUND","T47D","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF718VHT.bed.gz","ENCFF718VHT.bed.gz","ENCFF718VHT","ATF3","K562","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF719FBB.bed.gz","ENCFF719FBB.bed.gz","ENCFF719FBB","CLOCK","MCF-7","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF719FJX.bed.gz","ENCFF719FJX.bed.gz","ENCFF719FJX","SP1","MCF-7","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF719MEC.bed.gz","ENCFF719MEC.bed.gz","ENCFF719MEC","CREB3L1","K562","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF719NIX.bed.gz","ENCFF719NIX.bed.gz","ENCFF719NIX","CREB3L1","K562","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF719ZPW.bed.gz","ENCFF719ZPW.bed.gz","ENCFF719ZPW","KLF6","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF720NAW.bed.gz","ENCFF720NAW.bed.gz","ENCFF720NAW","CREB1","Ishikawa","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF721AJT.bed.gz","ENCFF721AJT.bed.gz","ENCFF721AJT","JUN","K562","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
