"file_name","file_accession","TF","cell_line","gene_name","n_overlapping_peaks"
"ENCFF104DIC.bed.gz","ENCFF104DIC","GATA3","SK-N-SH","MICA",2
"ENCFF104DIC.bed.gz","ENCFF104DIC","GATA3","SK-N-SH","MICB",1
"ENCFF104DIC.bed.gz","ENCFF104DIC","GATA3","SK-N-SH","RAET1E",2
"ENCFF104DIC.bed.gz","ENCFF104DIC","GATA3","SK-N-SH","RAET1L",1
"ENCFF104YMX.bed.gz","ENCFF104YMX","FOSL2","A549",NA,0
"ENCFF105NJB.bed.gz","ENCFF105NJB","FOSL2","HepG2",NA,0
"ENCFF105WAC.bed.gz","ENCFF105WAC","ATF6","K562","MICA",5
"ENCFF105WAC.bed.gz","ENCFF105WAC","ATF6","K562","MICB",2
"ENCFF105WAC.bed.gz","ENCFF105WAC","ATF6","K562","ULBP1",3
"ENCFF105WAC.bed.gz","ENCFF105WAC","ATF6","K562","ULBP2",1
"ENCFF105XMS.bed.gz","ENCFF105XMS","SP1","HepG2","MICA",3
"ENCFF105XMS.bed.gz","ENCFF105XMS","SP1","HepG2","MICB",1
"ENCFF106JLZ.bed.gz","ENCFF106JLZ","SP1","HepG2",NA,0
"ENCFF106WSZ.bed.gz","ENCFF106WSZ","JUND","MCF-7","MICA",3
"ENCFF106WSZ.bed.gz","ENCFF106WSZ","JUND","MCF-7","MICB",1
"ENCFF106WSZ.bed.gz","ENCFF106WSZ","JUND","MCF-7","RAET1E",4
"ENCFF106WSZ.bed.gz","ENCFF106WSZ","JUND","MCF-7","RAET1G",2
"ENCFF106WSZ.bed.gz","ENCFF106WSZ","JUND","MCF-7","RAET1L",1
"ENCFF106WSZ.bed.gz","ENCFF106WSZ","JUND","MCF-7","ULBP1",2
"ENCFF106WSZ.bed.gz","ENCFF106WSZ","JUND","MCF-7","ULBP2",2
"ENCFF106WSZ.bed.gz","ENCFF106WSZ","JUND","MCF-7","ULBP3",2
"ENCFF107CCL.bed.gz","ENCFF107CCL","BACH1","K562","MICB",1
"ENCFF107CCL.bed.gz","ENCFF107CCL","BACH1","K562","RAET1E",2
"ENCFF107CCL.bed.gz","ENCFF107CCL","BACH1","K562","RAET1G",1
"ENCFF107CCL.bed.gz","ENCFF107CCL","BACH1","K562","ULBP3",1
"ENCFF107DBQ.bed.gz","ENCFF107DBQ","ATF3","K562","ULBP1",1
"ENCFF107XSH.bed.gz","ENCFF107XSH","MAFK","HepG2","RAET1G",1
"ENCFF108XKR.bed.gz","ENCFF108XKR","ESR1","MCF-7","MICB",1
"ENCFF109HIE.bed.gz","ENCFF109HIE","JUND","SK-N-SH","MICA",1
"ENCFF109HIE.bed.gz","ENCFF109HIE","JUND","SK-N-SH","RAET1E",1
"ENCFF110ELV.bed.gz","ENCFF110ELV","CEBPB","K562","MICA",3
"ENCFF110ELV.bed.gz","ENCFF110ELV","CEBPB","K562","MICB",3
"ENCFF110ELV.bed.gz","ENCFF110ELV","CEBPB","K562","ULBP1",1
"ENCFF110ELV.bed.gz","ENCFF110ELV","CEBPB","K562","ULBP3",2
"ENCFF112JIR.bed.gz","ENCFF112JIR","CREB1","Ishikawa","MICA",1
"ENCFF112JIR.bed.gz","ENCFF112JIR","CREB1","Ishikawa","MICB",1
"ENCFF112JIR.bed.gz","ENCFF112JIR","CREB1","Ishikawa","RAET1G",1
"ENCFF112JIR.bed.gz","ENCFF112JIR","CREB1","Ishikawa","ULBP1",1
"ENCFF112JIR.bed.gz","ENCFF112JIR","CREB1","Ishikawa","ULBP2",1
"ENCFF112JIR.bed.gz","ENCFF112JIR","CREB1","Ishikawa","ULBP3",1
"ENCFF113OUV.bed.gz","ENCFF113OUV","JUND","HepG2","MICA",1
"ENCFF113OUV.bed.gz","ENCFF113OUV","JUND","HepG2","RAET1L",1
