ModelID	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	Gene	GeneEffect
ACH-000118	HUP-T3	HUPT3	HUPT3_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP2	-0.100264357588055
ACH-000118	HUP-T3	HUPT3	HUPT3_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP3	-0.00766885203816914
ACH-000118	HUP-T3	HUPT3	HUPT3_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP4	0.15132778711157
ACH-000118	HUP-T3	HUPT3	HUPT3_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP5	-0.0372942092505431
ACH-000118	HUP-T3	HUPT3	HUPT3_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP6	-0.0540749577503627
ACH-000133	Hs 729	HS729	HS729_SOFT_TISSUE	Fibroblast	Non-Cancerous	Fibroblast	MICA	-0.0394001807960383
ACH-000133	Hs 729	HS729	HS729_SOFT_TISSUE	Fibroblast	Non-Cancerous	Fibroblast	MICB	-0.264861864760947
ACH-000133	Hs 729	HS729	HS729_SOFT_TISSUE	Fibroblast	Non-Cancerous	Fibroblast	ULBP1	0.185639849052909
ACH-000133	Hs 729	HS729	HS729_SOFT_TISSUE	Fibroblast	Non-Cancerous	Fibroblast	ULBP2	-0.0658997050648638
ACH-000133	Hs 729	HS729	HS729_SOFT_TISSUE	Fibroblast	Non-Cancerous	Fibroblast	ULBP3	-0.0234655446848965
ACH-000133	Hs 729	HS729	HS729_SOFT_TISSUE	Fibroblast	Non-Cancerous	Fibroblast	ULBP4	0.0938141627391029
ACH-000133	Hs 729	HS729	HS729_SOFT_TISSUE	Fibroblast	Non-Cancerous	Fibroblast	ULBP5	-0.098778281307172
ACH-000133	Hs 729	HS729	HS729_SOFT_TISSUE	Fibroblast	Non-Cancerous	Fibroblast	ULBP6	-0.0474632233910602
ACH-000155	SW 1990	SW1990	SW1990_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICA	-0.130266279108095
ACH-000155	SW 1990	SW1990	SW1990_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICB	-0.477316662124977
ACH-000155	SW 1990	SW1990	SW1990_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP1	0.199563233066835
ACH-000155	SW 1990	SW1990	SW1990_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP3	0.0677020452888856
ACH-000155	SW 1990	SW1990	SW1990_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP4	-0.0693390720047726
ACH-000164	PANC-1	PANC1	PANC1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICA	0.111577318041796
ACH-000164	PANC-1	PANC1	PANC1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICB	-0.0695705614203161
ACH-000164	PANC-1	PANC1	PANC1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP1	0.248059174717131
ACH-000164	PANC-1	PANC1	PANC1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP2	-0.207068279623038
ACH-000164	PANC-1	PANC1	PANC1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP3	-0.151669734196538
ACH-000164	PANC-1	PANC1	PANC1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP4	0.160290346935907
ACH-000164	PANC-1	PANC1	PANC1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP5	-0.00671932957396984
ACH-000164	PANC-1	PANC1	PANC1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP6	0.00158296723322551
ACH-000200	NMC-G1	NMCG1	NMCG1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma	MICA	0.0969277159001841
ACH-000200	NMC-G1	NMCG1	NMCG1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma	MICB	0.081782983342194
ACH-000200	NMC-G1	NMCG1	NMCG1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma	ULBP1	0.00363515239684065
