	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low
ARID3A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARID3B	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	0.9861835843917167	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2	1.0077573071062496e-2
ARID3C	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.977158609825736	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542	0.9849009558110542
ARID5A	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.1945784516425473e-2	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3	1.9393267765618338e-3
ARID5B	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	3.281808933086605e-5	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4	1.3852334118302778e-4
ARNT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARNT2	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3	4.0171768943066954e-3
ARNTL	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.49394506251846015	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319	0.8328023271921319
ARX	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	1.6934134094713005e-2	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544	0.48171491896384544
ASCL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
