"Multinomial_Label2","n","percent","CAR_Variant","mean_ASA","mean_Proliferation"
"gdT",3,1.65745856353591,"CD223-FCER1G",0.083247967236853,0.0613484826926099
"CD4_CM",27,8.46394984326019,"CD30-CD79B",0.0899430394997794,0.0857028362910438
"CD4_EM",8,2.50783699059561,"CD30-CD79B",0.0899430394997794,0.0857028362910438
"CD4_Naive",41,12.8526645768025,"CD30-CD79B",0.0899430394997794,0.0857028362910438
"CD8_CM",146,45.7680250783699,"CD30-CD79B",0.0899430394997794,0.0857028362910438
"CD8_EM",16,5.01567398119122,"CD30-CD79B",0.0899430394997794,0.0857028362910438
"CD8_Naive",35,10.9717868338558,"CD30-CD79B",0.0899430394997794,0.0857028362910438
"CD8_TEMRA",16,5.01567398119122,"CD30-CD79B",0.0899430394997794,0.0857028362910438
"Treg",25,7.83699059561128,"CD30-CD79B",0.0899430394997794,0.0857028362910438
"gdT",5,1.56739811912226,"CD30-CD79B",0.0899430394997794,0.0857028362910438
"CD4_CM",5,4.54545454545455,"CD357-CD79B",0.0793778704611627,0.111438848831643
"CD4_EM",4,3.63636363636364,"CD357-CD79B",0.0793778704611627,0.111438848831643
"CD4_Naive",5,4.54545454545455,"CD357-CD79B",0.0793778704611627,0.111438848831643
"CD8_CM",17,15.4545454545455,"CD357-CD79B",0.0793778704611627,0.111438848831643
"CD8_EM",40,36.3636363636364,"CD357-CD79B",0.0793778704611627,0.111438848831643
"CD8_Naive",4,3.63636363636364,"CD357-CD79B",0.0793778704611627,0.111438848831643
"CD8_TEMRA",32,29.0909090909091,"CD357-CD79B",0.0793778704611627,0.111438848831643
"Treg",1,0.909090909090909,"CD357-CD79B",0.0793778704611627,0.111438848831643
"gdT",2,1.81818181818182,"CD357-CD79B",0.0793778704611627,0.111438848831643
"CD4_CM",3,2.14285714285714,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"CD4_EM",3,2.14285714285714,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"CD4_Naive",4,2.85714285714286,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"CD8_CM",80,57.1428571428571,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"CD8_EM",22,15.7142857142857,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"CD8_Naive",8,5.71428571428571,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"CD8_TEMRA",3,2.14285714285714,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"MAIT",1,0.714285714285714,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"Treg",1,0.714285714285714,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"gdT",15,10.7142857142857,"CD4-FCGR2A",0.0915502227077728,0.111261600324516
"CD4_CM",8,4.3010752688172,"CD4-K1",0.0802662537509252,0.0934507778212025
"CD4_EM",7,3.76344086021505,"CD4-K1",0.0802662537509252,0.0934507778212025
"CD4_Naive",10,5.37634408602151,"CD4-K1",0.0802662537509252,0.0934507778212025
"CD8_CM",109,58.6021505376344,"CD4-K1",0.0802662537509252,0.0934507778212025
"CD8_EM",7,3.76344086021505,"CD4-K1",0.0802662537509252,0.0934507778212025
"CD8_Naive",18,9.67741935483871,"CD4-K1",0.0802662537509252,0.0934507778212025
"CD8_TEMRA",2,1.0752688172043,"CD4-K1",0.0802662537509252,0.0934507778212025
"MAIT",2,1.0752688172043,"CD4-K1",0.0802662537509252,0.0934507778212025
"Treg",14,7.52688172043011,"CD4-K1",0.0802662537509252,0.0934507778212025
"gdT",9,4.83870967741935,"CD4-K1",0.0802662537509252,0.0934507778212025
"CD4_CM",25,12.8205128205128,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"CD4_EM",68,34.8717948717949,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"CD4_Naive",13,6.66666666666667,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"CD8_CM",69,35.3846153846154,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"CD8_EM",2,1.02564102564103,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"CD8_Naive",7,3.58974358974359,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"CD8_TEMRA",1,0.512820512820513,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"MAIT",1,0.512820512820513,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"Treg",6,3.07692307692308,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"gdT",3,1.53846153846154,"HVEM-CD79B",0.0804248429358734,0.099822730562487
"CD4_CM",21,16.9354838709677,"TIM1-CD3G",0.0764854271701845,0.0726683286924996
"CD4_EM",10,8.06451612903226,"TIM1-CD3G",0.0764854271701845,0.0726683286924996
"CD4_Naive",22,17.741935483871,"TIM1-CD3G",0.0764854271701845,0.0726683286924996
"CD8_CM",39,31.4516129032258,"TIM1-CD3G",0.0764854271701845,0.0726683286924996
"CD8_EM",4,3.2258064516129,"TIM1-CD3G",0.0764854271701845,0.0726683286924996
"CD8_Naive",15,12.0967741935484,"TIM1-CD3G",0.0764854271701845,0.0726683286924996
"CD8_TEMRA",9,7.25806451612903,"TIM1-CD3G",0.0764854271701845,0.0726683286924996
"MAIT",1,0.806451612903226,"TIM1-CD3G",0.0764854271701845,0.0726683286924996
"gdT",3,2.41935483870968,"TIM1-CD3G",0.0764854271701845,0.0726683286924996
"CD4_CM",23,1.04025327905925,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"CD4_EM",28,1.26639529624604,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"CD4_Naive",177,8.00542740841248,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"CD8_CM",993,44.9118046132972,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"CD8_EM",14,0.633197648123021,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"CD8_Naive",637,28.8104929895975,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"CD8_TEMRA",306,13.8398914518318,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"MAIT",2,0.0904568068747173,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"Treg",7,0.316598824061511,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"gdT",24,1.08548168249661,"TIM1-CD79B",0.0716900504379671,0.11900058436721
"CD4_CM",65,38.9221556886228,"TIM1-FCER1G",0.0972288125082994,0.0742016424356587
"CD4_EM",44,26.3473053892216,"TIM1-FCER1G",0.0972288125082994,0.0742016424356587
"CD4_Naive",25,14.9700598802395,"TIM1-FCER1G",0.0972288125082994,0.0742016424356587
"CD8_CM",8,4.79041916167665,"TIM1-FCER1G",0.0972288125082994,0.0742016424356587
"CD8_EM",2,1.19760479041916,"TIM1-FCER1G",0.0972288125082994,0.0742016424356587
"CD8_Naive",6,3.59281437125748,"TIM1-FCER1G",0.0972288125082994,0.0742016424356587
"CD8_TEMRA",4,2.39520958083832,"TIM1-FCER1G",0.0972288125082994,0.0742016424356587
"Treg",13,7.78443113772455,"TIM1-FCER1G",0.0972288125082994,0.0742016424356587
