"Program","Program_clean","Gene","rho","p_value","n_cells","FDR"
"TCAT_Th22","Th22","MICA",0.0177194719815096,0.00367881166371128,26866,0.00667636190821677
"TCAT_Th22","Th22","MICB",0.051256258275523,4.22529182016194e-17,26866,1.47885213705668e-16
"TCAT_Th22","Th22","ULBP1",-0.0188869179266153,0.00196243871700588,26866,0.00364240519444273
"TCAT_Th22","Th22","ULBP2",0.0248168078739693,4.73933141664649e-05,26866,0.000101854052375297
"TCAT_Th22","Th22","ULBP3",0.0446158297607739,2.55059165431519e-13,26866,8.11551890009379e-13
"TCAT_Th22","Th22","RAET1E",-0.000418787128559539,0.945276509771952,26866,0.961593008411254
"TCAT_Th22","Th22","NKG2DL_sum",0.0616424423021702,4.84448309405026e-24,26866,2.23943086423078e-23
"TCAT_MAIT","MAIT","MICA",0.0235367859285831,0.000114209056297306,26866,0.000241217403386552
"TCAT_MAIT","MAIT","MICB",0.0215625659891651,0.000408494043702663,26866,0.000820336399238955
"TCAT_MAIT","MAIT","ULBP1",0.000964252879046056,0.874423753251988,26866,0.919458452990288
"TCAT_MAIT","MAIT","ULBP2",0.0265116766487168,1.38610295836316e-05,26866,3.20372853583937e-05
"TCAT_MAIT","MAIT","ULBP3",-0.0310425676287148,3.5970869469301e-07,26866,8.90188183836237e-07
"TCAT_MAIT","MAIT","RAET1E",0.000414057902748491,0.945893530722907,26866,0.961593008411254
"TCAT_MAIT","MAIT","NKG2DL_sum",0.036453174098395,2.27711666714622e-09,26866,6.06406068968288e-09
"TCAT_CellCycle-Late-S","CellCycle-Late-S","MICA",0.0738843713980303,7.66443274610766e-34,26866,4.81483595588815e-33
"TCAT_CellCycle-Late-S","CellCycle-Late-S","MICB",0.21615681876751,1.65458371399379e-281,26866,4.05373009928479e-279
"TCAT_CellCycle-Late-S","CellCycle-Late-S","ULBP1",0.021820122092444,0.000347875149257861,26866,0.00070437530221633
"TCAT_CellCycle-Late-S","CellCycle-Late-S","ULBP2",0.0147487204453003,0.0156292601824272,26866,0.0265914496159351
"TCAT_CellCycle-Late-S","CellCycle-Late-S","ULBP3",0.0412639194459028,1.32323416512378e-11,26866,3.85943298161102e-11
"TCAT_CellCycle-Late-S","CellCycle-Late-S","RAET1E",0.00322618375378846,0.596961023762322,26866,0.6771085686193
"TCAT_CellCycle-Late-S","CellCycle-Late-S","NKG2DL_sum",0.185781915725734,3.31397267818754e-207,26866,2.70641102051982e-205
"TCAT_TEMRA","TEMRA","MICA",0.0421928942445833,4.56342992208736e-12,26866,1.36346381818464e-11
"TCAT_TEMRA","TEMRA","MICB",0.114304743712101,8.10013995730393e-79,26866,1.41752449252819e-77
"TCAT_TEMRA","TEMRA","ULBP1",0.00977214109026549,0.109221786023522,26866,0.156589580528557
"TCAT_TEMRA","TEMRA","ULBP2",0.00113685975041273,0.852184117239955,26866,0.907761342277343
"TCAT_TEMRA","TEMRA","ULBP3",0.0856225088080979,6.7428522392025e-45,26866,6.88332832751922e-44
"TCAT_TEMRA","TEMRA","RAET1E",-0.0019098936139161,0.754255181691327,26866,0.814063962618392
"TCAT_TEMRA","TEMRA","NKG2DL_sum",0.122000365263623,1.32370191252256e-89,26866,2.70255807140023e-88
"TCAT_CD4-CM","CD4-CM","MICA",0.000826241438906435,0.892278447554049,26866,0.929727229553322
"TCAT_CD4-CM","CD4-CM","MICB",-0.0191686304982094,0.00167772733012815,26866,0.00316187073754921
"TCAT_CD4-CM","CD4-CM","ULBP1",-0.0154979481419346,0.0110763767339033,26866,0.0192859285640089
"TCAT_CD4-CM","CD4-CM","ULBP2",0.0138603611668573,0.0230965037526076,26866,0.0372279172328215
"TCAT_CD4-CM","CD4-CM","ULBP3",-0.0610035702219491,1.4076415952825e-23,26866,6.15843197936092e-23
"TCAT_CD4-CM","CD4-CM","RAET1E",-0.000473633968696178,0.938123148782092,26866,0.961593008411254
"TCAT_CD4-CM","CD4-CM","NKG2DL_sum",-0.0138819313145496,0.0228837164389412,26866,0.0371292087916596
"TCAT_IEG","IEG","MICA",0.00256923062394804,0.673682158563703,26866,0.750236949309578
"TCAT_IEG","IEG","MICB",-0.0140757899867968,0.0210465309153484,26866,0.0346067119077877
"TCAT_IEG","IEG","ULBP1",-0.0104732035161259,0.0860496502753656,26866,0.127770692833119
"TCAT_IEG","IEG","ULBP2",-0.00216608989529582,0.722571261924627,26866,0.786799818540149
"TCAT_IEG","IEG","ULBP3",-0.0915607388616959,4.10864456219594e-51,26866,4.79341865589526e-50
"TCAT_IEG","IEG","RAET1E",0.00083340078605892,0.891350810416797,26866,0.929727229553322
"TCAT_IEG","IEG","NKG2DL_sum",-0.00826229985024462,0.175665764020229,26866,0.231387699919118
"TCAT_CD8-EM","CD8-EM","MICA",0.037428885683421,8.42121223567915e-10,26866,2.29244110860155e-09
"TCAT_CD8-EM","CD8-EM","MICB",0.0981195869598946,1.82242749759999e-58,26866,2.34997229953683e-57
"TCAT_CD8-EM","CD8-EM","ULBP1",0.00917813510958843,0.132494836582091,26866,0.181648138281813
"TCAT_CD8-EM","CD8-EM","ULBP2",0.00784293637573038,0.198623211657849,26866,0.258844079022197
"TCAT_CD8-EM","CD8-EM","ULBP3",0.0371782785388741,1.08986844595907e-09,26866,2.93426120065904e-09
"TCAT_CD8-EM","CD8-EM","RAET1E",-0.00386589061840303,0.526325411807591,26866,0.608253424022924
"TCAT_CD8-EM","CD8-EM","NKG2DL_sum",0.0992738958359909,8.1915449613351e-60,26866,1.18054618560418e-58
"TCAT_IEG2","IEG2","MICA",0.0262369165174826,1.70033545763921e-05,26866,3.82185492772117e-05
"TCAT_IEG2","IEG2","MICB",0.00463732418440512,0.447215360193849,26866,0.531522105795139
"TCAT_IEG2","IEG2","ULBP1",0.0183182902583356,0.00267652444202494,26866,0.00489364543504561
"TCAT_IEG2","IEG2","ULBP2",0.0144166392000765,0.018126558804239,26866,0.0300458497794635
"TCAT_IEG2","IEG2","ULBP3",-0.083652693364238,6.28049966690321e-43,26866,5.30593937376306e-42
"TCAT_IEG2","IEG2","RAET1E",-0.00229678417568898,0.706585758853571,26866,0.777778171187714
"TCAT_IEG2","IEG2","NKG2DL_sum",0.0147084797863117,0.0159148144153213,26866,0.0268905484948532
"TCAT_CD4-Naive","CD4-Naive","MICA",-0.0363831223255845,2.44333398686416e-09,26866,6.4367400729217e-09
"TCAT_CD4-Naive","CD4-Naive","MICB",-0.0714883536428511,8.73527906133943e-32,26866,5.095579452448e-31
"TCAT_CD4-Naive","CD4-Naive","ULBP1",-0.0256969198568533,2.52622986846814e-05,26866,5.575912772745e-05
"TCAT_CD4-Naive","CD4-Naive","ULBP2",-0.0295076669626486,1.31557810745454e-06,26866,3.15996702280748e-06
"TCAT_CD4-Naive","CD4-Naive","ULBP3",-0.0536038881319729,1.4686097404928e-18,26866,5.37028934956323e-18
"TCAT_CD4-Naive","CD4-Naive","RAET1E",-0.0069733667052762,0.253057330200459,26866,0.32291169739121
"TCAT_CD4-Naive","CD4-Naive","NKG2DL_sum",-0.0767068965693729,2.37012652428334e-36,26866,1.70788528955711e-35
"TCAT_Treg","Treg","MICA",0.0308989585624358,4.07167140202863e-07,26866,9.97559493497013e-07
"TCAT_Treg","Treg","MICB",0.00228569777387038,0.707936866019837,26866,0.777778171187714
"TCAT_Treg","Treg","ULBP1",0.0010413008164968,0.864483118495174,26866,0.91292398289361
"TCAT_Treg","Treg","ULBP2",0.019186855960287,0.00166068580011732,26866,0.00315401566688948
