"CAR_Variant","n_cells","S_mean","G2M_mean","NKG2DL_mean","S_z","G2M_z","NKG2DL_z","CD4-CM","CD4-EM","CD4-Naive","CD8-CM","CD8-EM","CD8-Naive","CD8-TEMRA","gdT","MAIT","Treg","radius_fixed"
"CD357-CD79B",110,-0.12517396334861,0.000453575985804793,0.0405020874969651,0.715429323179717,1.27903837697396,1.54431513552271,0,0,0,0,0,0,0.290909090909091,0,0,0,0.24
"CD357-CD79B",110,-0.12517396334861,0.000453575985804793,0.0405020874969651,0.715429323179717,1.27903837697396,1.54431513552271,0,0,0,0,0,0,0,0,0,0.00909090909090909,0.24
"CD357-CD79B",110,-0.12517396334861,0.000453575985804793,0.0405020874969651,0.715429323179717,1.27903837697396,1.54431513552271,0,0,0,0,0,0,0,0.0181818181818182,0,0,0.24
"CD4-FCGR2A",140,-0.0919013844203887,-0.0630039394065875,0.0389963205967061,1.09099038134866,0.549851467322114,1.33762529643592,0.0214285714285714,0.0214285714285714,0,0,0,0,0.0214285714285714,0,0,0,0.24
"CD4-FCGR2A",140,-0.0919013844203887,-0.0630039394065875,0.0389963205967061,1.09099038134866,0.549851467322114,1.33762529643592,0,0,0.0285714285714286,0,0,0,0,0,0,0,0.24
"CD4-FCGR2A",140,-0.0919013844203887,-0.0630039394065875,0.0389963205967061,1.09099038134866,0.549851467322114,1.33762529643592,0,0,0,0.571428571428571,0,0,0,0,0,0,0.24
"CD4-FCGR2A",140,-0.0919013844203887,-0.0630039394065875,0.0389963205967061,1.09099038134866,0.549851467322114,1.33762529643592,0,0,0,0,0.157142857142857,0,0,0,0,0,0.24
"CD4-FCGR2A",140,-0.0919013844203887,-0.0630039394065875,0.0389963205967061,1.09099038134866,0.549851467322114,1.33762529643592,0,0,0,0,0,0.0571428571428571,0,0,0,0,0.24
"CD4-FCGR2A",140,-0.0919013844203887,-0.0630039394065875,0.0389963205967061,1.09099038134866,0.549851467322114,1.33762529643592,0,0,0,0,0,0,0,0,0.00714285714285714,0.00714285714285714,0.24
"CD4-FCGR2A",140,-0.0919013844203887,-0.0630039394065875,0.0389963205967061,1.09099038134866,0.549851467322114,1.33762529643592,0,0,0,0,0,0,0,0.107142857142857,0,0,0.24
"CD4-K1",186,-0.163725019010404,-0.0880770847290039,0.027148080226714,0.280287962808847,0.261737297710354,-0.288729284152979,0.043010752688172,0,0,0,0,0,0,0,0,0,0.24
