SYMBOL,D1_UTD,D2_UTD,D3_UTD,D1_NKG2D,D2_NKG2D,D3_NKG2D,D1_N_1012,D2_N_1012,D3_N_1012,D1_NZ,D2_NZ,D3_NZ,D1_NZ_10,D3_NZ_10,D1_N_10Z,D2_N_10Z,D3_N_10Z
AFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,241,934.0179999999999,445,280,485,422,244,439,587,398.519,297,516,164.999,759.3720000000001,163,331.99899999999997,1016.328
AGAP7P,33.738,69.566,32.808,21.88,23.458,12.737,0,18.871,4.479,5.741,34.46,12.852,5.995,10.96,0,13.081,0
AGBL1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
AGGF1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGGF1P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGGF1P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGGF1P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGGF1P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGKP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGKP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGMAT,498,1155.958,472,450,331,308,629,611,1198,829,515,1395,426,1960.35,352,451,2443.287
AGPAT5P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRP,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
AGT,6.987,5.448,1.194,2.12,0,2.431,1.266,1.197,2.137,2.149,7.159,7.324999999999999,3.3,16.485999999999997,2.184,8.692,5.505
AGTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGXT,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
AHCYP2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
