gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HMG20A,515.5568909781055,-0.10718393937851235,0.1989368312109695,-0.5387837874267003,0.5900360516870886,0.7704019246910512
HMG20B,1228.38058637277,-0.3566073690147748,0.1764123931341716,-2.021441706442669,0.0432340610251543,0.16430664804731362
HMGA1,7810.5350471011625,0.978107559957367,0.4516709074965122,2.165531460458121,0.030347008807931446,0.13218499405742354
HMGA1P4,6.224081485548504,-0.6445356662365425,0.9486968162807093,-0.6793905652212405,0.4968904263101146,0.7059468561365324
HMGB1,17294.717785596575,0.4381781965259511,0.22211270368559005,1.9727741333796507,0.04852130144772188,0.1765777581283873
HMGB1P1,1.1568796619632844,1.5622562588475764,2.1533539355400224,0.7254990612845029,0.46814592055090926,NA
HMGB1P10,1.180173283030709,0.08891972676632096,1.7055321464635962,0.052136060261716625,0.9584202800915936,NA
HMGB1P14,0.7595245032625998,-0.5983607767316731,2.4869769515568945,-0.2405976365631728,0.809866982133769,NA
HMGB1P17,136.15553364040395,4.239021082516139,1.0890701298162289,3.892330683269623,9.928578864522064e-5,0.0041823034326160325
HMGB1P24,0.750820044287257,1.191382740265453,2.8220618538917845,0.4221674796470064,0.6729027766161448,NA
HMGB1P3,5.218110750684334,0,4.098851674235008,0,1,1
HMGB1P31,1.094094255065371,0.4184442991122738,2.925279585936214,0.14304420716707453,0.8862552678906697,NA
HMGB1P5,16.29136422189483,0.09817462995931968,4.86047563111099,0.020198564381420276,0.9838849731106238,0.9929929434153849
HMGB1P6,1263.749327611443,0.40309212424137,0.31448441993370074,1.2817554660620372,0.19992844094903542,0.41615421119026325
HMGB2,9859.527532556836,0.013267588363599904,0.3460174716846839,0.03834369489784114,0.9694136528935438,0.9864797339626797
HMGB3,442.31214056535185,0.4242721286120617,0.33775541827986216,1.2561519538985229,0.20906088260929256,0.42827470853822075
HMGB3P22,6.959331722745978,0.6560396323118042,1.0894132121542845,0.6021954066579603,0.5470440728754109,0.7415982770603271
HMGB3P24,0.5268693325686543,1.6920859676029,4.954677855909912,0.34151281209626766,0.7327175613585276,NA
HMGB3P32,5.8949935167151715,-1.9958940993366145,1.0491184219764644,-1.9024488156222557,0.05711250433798606,0.1953209274895962
HMGB3P5,0.6017061251323018,0.35218335269194634,3.540527004183585,0.09947201427239412,0.9207635070516736,NA
HMGCL,475.94630481070635,-0.5316454826784655,0.33609263751573076,-1.5818420974889158,0.11368562202018109,0.3000828778302792
HMGCR,855.6214312057721,0.4637476649749523,0.2782621342625223,1.6665855963623009,0.0955968349191712,0.2714829215576984
HMGCS1,1159.2740482422553,0.7199976967869592,0.3556118861307294,2.0246727538299294,0.042900978145583406,0.16352919028533666
HMGN1,6220.688601337983,0.4737644529625325,0.22945578620771834,2.064730904339235,0.03894846875681573,0.1543985249004611
HMGN2,9381.409949636252,0.4562495548731924,0.2000275689435275,2.280933359751037,0.022552390552803826,0.11160630301933491
HMGN2P3,1.509113243546475,1.7940032591295056,1.9183454574245593,0.9351825825667567,0.3496942130482803,NA
HMGN2P5,0.9684293097083474,3.1709281235244178,2.1950304752420906,1.4445941226281585,0.14857192463278637,NA
HMGN3,1227.7952611751798,0.34431972447660597,0.23623305476275802,1.4575425307114462,0.14496668017511155,0.3451802910141826
HMGN3-AS1,10.515528506380667,-0.083259273500752,0.7283982960426559,-0.11430459674754131,0.9089963387072297,0.9578067575305632
HMGN4,1918.851902818119,-0.44506077985192954,0.31670149909944795,-1.40530051520904,0.15993193522757485,0.3663607337121314
HMGN5,148.30590988417202,-0.7282263906291244,1.0066039205643769,-0.7234487922725621,NA,NA
HMGXB3,776.3295206881985,-0.04017187620367891,0.2787500716389,-0.14411431705645836,0.8854101993638372,0.947344952960471
HMGXB4,499.85339420941744,0.6295817563658662,0.44085822590550283,1.4280821347333008,0.15326821902247756,0.3566859170405645
HMHB1,9.30730301138157,1.3398091766373406,1.3334513278658304,1.0047679646333143,0.3150085929667408,0.5461150334471085
HMMR,630.5993122854264,0.3295584234283682,0.4618913115046212,0.7134977758183507,0.4755377889563143,0.6889432673019847
HMOX1,443.6358302241022,-1.3447708168803794,0.8957344229739936,-1.5013052779812872,0.13327662048456815,0.33011094806153374
HMOX2,1681.3483540311554,-0.7178266861434305,0.22449623228852775,-3.1974999260605097,0.0013862444689045036,0.020814113117179713
HMSD,44.592091646763805,2.233825544411054,0.7892290984916954,2.830389235115815,0.004649140596931093,0.04274074468099806
HMX2,0.707973161390912,1.8131870342535965,2.5899129168984207,0.7000957531904196,0.4838675078295787,NA
HMX3,0.9189591422441982,2.4793171089450157,2.641557509753857,0.9385815375172509,0.3479456355344303,NA
HNF1B,61.869781550779024,1.251882803747089,1.062715732399795,1.178003454338746,0.23879522910767173,0.4626401844280974
HNRNPA0,7570.5021302444475,0.12162542475768462,0.2662851996122429,0.45674872255308285,0.6478516662024754,0.810127560043869
HNRNPA1,32725.52112202734,0.13262404437945058,0.30522506415730055,0.43451229913118,0.663916465500596,0.8204260280160315
HNRNPA1L2,20.867364057754727,-2.1876817833720668,2.921961051380594,-0.7487032663691432,0.45403607450545314,0.6710996861579973
HNRNPA1L3,268.3018150479481,0.2948456197934848,0.3970960937741752,0.7425044577778211,0.4577817519275801,0.6745466903342805
HNRNPA1P10,8.640733420351905,0.1251981175602964,0.7490537641777351,0.16714169736231305,0.8672585577046745,0.9363007760287316
HNRNPA1P12,1.0395033815859933,0.8238274816437641,2.7033631870615644,0.30474169567250337,0.7605628905335822,NA
HNRNPA1P15,0.656323658342481,0.37330775055583915,2.84428381392488,0.13124841787174005,0.89557879527474,NA
HNRNPA1P16,2.152293440992186,1.6171446296499752,1.7636701064789968,0.9169201335948557,0.3591844928119619,NA
HNRNPA1P21,179.04204442247723,2.6085342557783906,0.7416316519006232,3.5172908937925533,4.359757076140469e-4,0.010550473938615685
HNRNPA1P25,0.8046871222198239,0.5213483856056188,2.328086299293186,0.22393859959740398,0.8228050802130724,NA
HNRNPA1P26,1.2662723490384424,1.1785968977332963,2.0122252816032176,0.5857181641184146,0.5580649256297159,NA
HNRNPA1P35,1.4779636416509134,-1.9783116349783574,1.5494083811941812,-1.2768174349577261,0.2016667087014619,NA
HNRNPA1P39,0.9077053745404741,-0.5253020823993386,2.1811427996487773,-0.24083800587651868,0.8096806720026942,NA
HNRNPA1P4,1.1495471489989457,0.6311239485170381,2.024785949241271,0.31169909528142137,0.7552692155895234,NA
HNRNPA1P40,3.065580815503857,-1.7551421615464589,1.3295235247306063,-1.3201286994166523,0.18679205223696613,NA
HNRNPA1P50,1.4757304167906469,0.9100160475386853,1.5914576762547308,0.5718129115945317,0.5674487290600699,NA
HNRNPA1P54,1.2817818623155266,0.6183369433753741,1.6010962878049089,0.38619597589793275,0.6993515337824524,NA
HNRNPA1P68,0.6581280202482991,-1.8305405595740938,2.938207275774166,-0.6230127379600129,0.5332761512306263,NA
HNRNPA1P7,1.1430396915843124,-0.9257500286951291,2.5750369638168116,-0.3595094135359321,0.7192140369114889,NA
