gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CAR,neg_log10_padj,gene_group
MCM3,4624.870350814302,0.2600325301509226,0.429545443549433,0.6053667523561974,0.54493533713368425,1,NKG2D,-0,Proliferation
MCM4,4604.829875438745,0.5782649546745247,0.6707830307457769,0.8620745131724775,0.3886465154385418,1,NKG2D,-0,Proliferation
MICA,108.67850622643223,0.11208295625126456,0.33785800255473647,0.3317457494087504,0.7400812520623834,1,NKG2D,-0,NA
MICB,671.3195867285755,0.04360834355179062,0.2765842008141744,0.15766751471494672,0.8747187997622432,1,NKG2D,-0,NA
MKI67,1898.8567532480488,0.0664054360111016,0.8109618000053491,0.08188478916104752,0.9347383303066302,1,NKG2D,-0,Proliferation
NKG7,11528.811850720756,-0.8298858180560635,0.442618683171182,-1.8749452962768556,0.06080024964726525,1,NKG2D,-0,Cytotoxicity
NPW,231.1274626061899,0.04905675221146562,1.2910970654196576,0.03799617668213059,0.9696907303943264,1,NKG2D,-0,Activation
PCNA,9527.029658196374,0.19758838877758628,0.4443254172453019,0.4446929685062384,0.6565416514501499,1,NKG2D,-0,Proliferation
PRF1,10971.366635093616,-0.41668820844569376,0.472038713598287,-0.8827415981823529,0.3773759012271029,1,NKG2D,-0,Cytotoxicity
RAET1E,1.7582972757107589,3.3860010603450204,4.499338102781715,0.7525553721449885,0.45171714387673567,1,NKG2D,-0,NA
RGS16,2289.1352456984127,-0.4212831304506095,0.5137316500850829,-0.82004511573471806,0.41219038839790045,1,NKG2D,-0,Activation
TNFRSF18,3348.6032748368634,-0.05584665185684103,0.7593866270940497,-0.0735417899977378,0.9413749904771724,1,NKG2D,-0,Activation
TNFRSF4,2648.7120502301223,0.7315512262163731,0.6630117820072757,1.1033759068377238,0.26986395508004596,1,NKG2D,-0,Activation
TNFRSF8,422.387357082927,0.33854780817892444,1.34534686665693,0.25164351036115046,0.8013166241676722,1,NKG2D,-0,Activation
TNFRSF9,4671.229029728614,-1.0717029563253333,0.8350981486990853,-1.283325747991216,0.19937797562500537,1,NKG2D,-0,Activation
TNFSF13B,175.8331403163972,-0.0468270495419658,0.6699141047256919,-0.06990008004256003,0.9442731894221432,1,NKG2D,-0,Activation
TOP2A,3989.5442825525097,0.2175646614634655,0.5134593769452652,0.4237232218015523,0.6717676776053866,1,NKG2D,-0,Proliferation
ULBP1,8.147143972440439,1.797479940433396,1.2394466736016103,1.4502277336468543,0.1469950236412211,1,NKG2D,-0,NA
ULBP2,11.334227455852142,0.3232777144808078,0.942724923531279,0.3429183915811489,0.7316598552886204,1,NKG2D,-0,NA
ULBP3,29.18383410529467,0.15883514582837338,0.662734837142978,0.23966620875568428,0.8105890330293013,1,NKG2D,-0,NA
CDC20,2991.2005236185596,0.8552077132877348,0.4500777025383233,1.9001334846507207,0.05741560444502378,0.19561273535821355,NKG2D/Dap10-12,0.7086028739055291,Proliferation
CDK1,1483.380445990774,1.547083777972563,0.45578763062204825,3.394308388450866,6.880216778942058e-4,0.01366201693295776,NKG2D/Dap10-12,1.8644851807282257,Proliferation
CRTAM,2684.302560885621,2.6383930464293215,0.79087507958643,3.3360427133562087,8.498010616238627e-4,0.01561547799157206,NKG2D/Dap10-12,1.8064447174264213,Activation
DUSP4,6596.980547364267,1.9467151363113344,0.539358712863826,3.609314339199021,3.0700741066980126e-4,0.00840143935650155,NKG2D/Dap10-12,2.075646303100525,Activation
GNLY,45989.14793838967,-1.685376077494371,1.2782222986971905,-1.3185312752031988,0.18732586260657616,0.40074937079497736,NKG2D/Dap10-12,0.39712715084651584,Cytotoxicity
GZMA,13014.881674171866,0.13183070975659442,0.5417616813521577,0.2433370876795204,0.8077442758391706,0.9040720583496398,NKG2D/Dap10-12,0.04379695304627715,Cytotoxicity
GZMB,50256.09671662084,1.9081717799598923,0.7980457983971454,2.3910554805155377,0.01680001396854603,0.0934907745735172,NKG2D/Dap10-12,1.029231242063164,Cytotoxicity
GZMH,772.8482035055544,-0.8022904303038262,0.9032223871511618,-0.8882534818853601,0.37440441612572584,0.6038268190950545,NKG2D/Dap10-12,0.21908760160386598,Cytotoxicity
GZMK,1059.197527726015,-0.281493964620929,0.7384411580694575,-0.3812002642930309,0.7030546530222834,0.8439689829607946,NKG2D/Dap10-12,0.07367351401000755,Cytotoxicity
ID3,304.0281243052165,0.3066195792393059,0.5859324279909872,0.5233019450564055,0.600764147651228,0.7790801303298727,NKG2D/Dap10-12,0.1084178717621032,Activation
IFNG,2102.639838803414,2.665636606699673,0.5339361300687847,4.99242597865829,5.962556815529077e-7,1.400742193432754e-4,NKG2D/Dap10-12,3.8536417892484183,Activation
IL2RA,13281.36207594541,2.498187899475712,0.47275196543923864,5.284352222956112,1.2615033230693122e-7,4.098543775163489e-5,NKG2D/Dap10-12,4.38737042199973,Activation
KLRD1,1425.264827733504,0.17165006608303782,0.6340530835652923,0.27071876240684184,0.7866073451830725,0.8915559552166047,NKG2D/Dap10-12,0.049851394744143594,Cytotoxicity
KLRG1,144.36621190580885,-3.302377329664619,0.8305173569229001,-3.9762893600442726,6.99989445285697e-5,0.00334026213422268,NKG2D/Dap10-12,2.476219449661712,Cytotoxicity
KLRK1,4732.719776851656,-0.47716529466631336,0.6473834244045749,-0.7370675193069423,0.4610812902509968,0.6773171045822723,NKG2D/Dap10-12,0.16920795682845535,Cytotoxicity
LAIR2,686.7978553050176,0.5744472136990566,0.6942975926425181,0.8273789507359413,0.4080223073829908,0.630776240633276,NKG2D/Dap10-12,0.20012467354889454,Activation
LAYN,609.0287253517114,1.7164682930991286,0.41627501883045775,4.123399712818748,3.7332103964319014e-5,0.00232905515723534,NKG2D/Dap10-12,2.6328202262788465,Activation
