gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCA11P,2.303052907725167,-1.2024425591976955,2.488995235670901,-0.4831036001857114,0.6290221779242757,1
ABCA17P,1.2306546735823827,2.540229343245567,2.224641075557724,1.1418603077841327,0.2535120896107979,1
ABCA2,261.7113940792164,-0.895840111143027,0.7954419568682544,-1.126216819980243,0.2600737556976453,1
ABCA3,155.22998724550456,-0.3956386885931444,0.4046316941426443,-0.9777748365249667,0.3281856991458553,1
ABCA5,12.890111453658333,0.9159857179750972,1.4411761472200821,0.6355820693688021,0.5250488594642813,1
ABCA7,261.0591042203594,-0.7832312951518554,0.8019531004574963,-0.9766547379205086,0.3287401101380806,1
ABCB1,181.51675201378757,0.026724497716292758,0.5466396257536434,0.0488886945937154,0.9610079984969955,1
ABCB10,730.4914556136572,0.42702128806151585,0.3406453744998728,1.253565496635491,0.2099999788470379,1
ABCB6,206.2828608213658,0.35651114568348097,0.5024745188193737,0.7095108952413114,0.47800749275888255,1
ABCB7,406.1792424878114,0.032118863736002465,0.35630327016022856,0.09014473462889831,0.9281722008077045,1
ABCB8,544.2283640639604,0.10029872295759551,0.22432943432511993,0.4471046042590777,0.6547995347952885,1
ABCB9,35.301354106374035,0.3156823088672346,0.5679287884042551,0.5558484009134786,0.5783144946563752,1
ABCC1,1019.0976299890632,-0.6281661127085172,0.7175763972091759,-0.8753996301322111,0.38135650097373053,1
ABCC10,296.8728980216417,-0.22300283925448375,0.4366964907121213,-0.5106586473613123,0.6095901016774671,1
ABCC2,1.7409811633458359,0.18470322030446928,1.9660741003174715,0.09394519783086729,0.9251526898996518,1
ABCC4,194.3272990316583,0.2856045513291754,0.49723482516755274,0.5743856561795234,0.5657068571792916,1
ABCC5,219.80087702533584,-0.05159090369053566,0.36906474899308517,-0.1397882182768484,0.8888273223443895,1
ABCC6,0.9178932616995578,1.501352315524709,2.7965883315209044,0.5368513837387748,0.5913702749823699,1
ABCC9,1.3877906950587677,-1.523713913353329,2.958420703380931,-0.5150430131901133,0.6065229631152583,1
ABCD1,206.13890392502395,-0.5524026685589465,0.492082654195084,-1.1225810620423715,0.26161546217327675,1
ABCD2,540.110722733224,0.29648926009040216,0.6282724298209771,0.4719119382254052,0.6369896464489957,1
ABCD3,561.0049799715882,0.4389788956818409,0.3215635886445047,1.3651386885321188,0.17220946418776184,1
ABCD4,48.648377167542215,-0.8012078051166052,0.846504251071998,-0.9464899958883488,0.343898722457414,1
ABCE1,2706.3075603211187,0.4201355112146354,0.403517036493071,1.0411840720927026,0.2977901265643996,1
ABCF1,2894.0306198675216,-0.5002570028794358,0.3629643505673428,-1.378253820512933,0.1681249355440088,1
ABCF2,1581.4612052106563,0.15665385358239348,0.37606630367800997,0.4165591334567464,0.6770009061368956,1
ABCF2-H2BK1,285.01455412695486,0.1807954233491496,0.599920801316881,0.3013654851645203,0.7631358104436254,1
ABCF3,619.7168506346342,-0.12217894617554498,0.3293705760870824,-0.37094675434287133,0.7106771905658998,1
ABCG1,49.09521921256048,-0.11517574637650571,0.9004761722739528,-0.1279053793124308,0.8982238539404092,1
ABCG2,81.29391793276783,0.522399314521386,0.695940559578241,0.7506378344121433,0.4528706450155234,1
ABCG8,0.6485189580542174,3.2977078965243978,3.9096811278246912,0.8434723417864031,0.398964327933834,1
ABHD1,0.6226688114695209,3.1969132505214883,4.059829060494124,0.7874502110520856,0.43101836350622524,1
ABHD10,573.7567100641726,0.372050441123273,0.3024020209280386,1.2303173106498795,0.21857830445387355,1
ABHD11,177.87317985975966,-0.05304173136102002,0.3492289770796677,-0.15188238904047158,0.8792796986473015,1
ABHD12,847.8985992164379,0.05218711007208739,0.21380056521420776,0.24409247945533208,0.8071591969448944,1
ABHD13,484.2727857713224,0.23578802640533986,0.35808740711087844,0.6584650052559102,0.5102393766034206,1
ABHD14A,356.5212966915233,0.16187326916157405,0.3557318480770589,0.4550429488857825,0.6490783406620814,1
ABHD14B,1132.3381300784156,-0.26557721962295067,0.3180195471335671,-0.8350971568153612,0.4036630073867389,1
ABHD15,596.0556952160276,-0.08100487395676213,0.29107416660689495,-0.2782963356076935,0.7807848888205449,1
ABHD16A,500.09041289445815,0.20979777873744304,0.17357985766092862,1.2086527870489594,0.2267962672805395,1
ABHD16B,35.339379013822075,-0.3504854392677001,1.3496326980676712,-0.25968949905370964,0.7951032933629502,1
ABHD17A,4527.624517391359,0.08726477114256014,0.33816259609710664,0.2580556576916662,0.7963639527961461,1
ABHD17AP1,2.7238993884227023,-0.31046111478711824,1.4917433363264372,-0.20811965921138878,0.8351355373997327,1
ABHD17AP3,0.7101482066953713,-1.28205806289014,2.5012429320168286,-0.5125683900909127,0.6082532693572102,1
ABHD17AP5,0.5357157251879571,-0.32752572844970684,4.070199228325478,-0.08046921294917897,0.9358640813159048,1
ABHD17B,565.4420753039655,0.21670025843040508,0.24737735546522133,0.8759906824247334,0.3810350991474629,1
ABHD17C,39.420387852285955,0.33888684279475945,0.6564574640652792,0.5162357979694782,0.6056897307038978,1
ABHD18,155.64372222362266,0.6349921341365659,0.3827799267394949,1.6588961170075063,0.09713672724206926,1
ABHD2,1194.0786094104121,-0.222506684376495,0.38323855152234626,-0.5805957764233979,0.5615129195064352,1
ABHD3,502.0229754440804,0.3555518314144862,0.22487104964543755,1.5811365312480101,0.11384682351640059,1
ABHD4,334.60257654032813,0.13155350458574305,0.43951427062119414,0.2993156613545447,0.7646992060104547,1
ABHD5,172.360427765287,0.2792488698735719,0.4195561792233032,0.6655815924115979,0.5056785753738935,1
ABHD6,181.0818657304273,0.3557334473138512,0.24585975398914078,1.446895807638217,0.1479261075031475,1
ABHD8,402.3677084071658,-0.10209171028823437,0.3967503294559256,-0.2573197870515583,0.7969319187563566,1
ABI1,1891.661910776217,0.3699137716077259,0.24022932097397745,1.5398360620925053,0.12360031916497889,1
ABI2,481.59172677996537,0.07533711445289228,0.23631531876619424,0.3187991148700324,0.7498788495172396,1
ABI3,2042.9975257088558,-0.4216529924867281,0.37462958723846335,-1.1255197316231538,0.26036886067131004,1
ABI3BP,0.7806724570283204,-2.420438681176378,4.7955350222153434,-0.5047275580229696,0.6137502025069747,1
ABITRAM,269.9479416482187,0.49399865982542285,0.4329612681029976,1.140976563538485,0.2538796759914682,1
ABL1,517.860202999931,-0.6736878180606392,0.48874952269604666,-1.3783907436767067,0.16808267971066748,1
ABL2,175.59010769878805,-0.26828966368672696,0.3392861239028852,-0.7907475277813608,0.42909133537276384,1
ABLIM1,1041.2196211970695,-0.33276292081549663,0.8466264450720875,-0.39304574378982804,0.6942856959036573,1
ABLIM2,1.8549397093445557,-1.5803305902217983,1.844089298834339,-0.8569707503973565,0.3914610498527004,1
ABLIM3,2.8175757515501862,3.253245967217787,1.946450597322137,1.6713735101694829,0.09464792483810955,1
ABR,444.2229034812987,-0.13019590745109696,0.4377248320742429,-0.2974377917609534,0.7661322948141734,1
ABRACL,2537.2104953839284,0.6396190399862024,0.391820307606831,1.6324295284562511,0.10258903284988538,1
ABRAXAS1,121.70024530487841,0.015735858709388064,0.5408441413579588,0.029094997072314138,0.9767888258683453,1
ABRAXAS2,614.1584236439267,0.16907123671983423,0.2445358033900048,0.69139665593339,0.4893163050275144,1
ABT1,2051.8189798768162,0.24356543357746374,0.2573862047863277,0.9463033723181186,0.34399387381866436,1
ABTB1,747.3297024743345,-0.0790680112052139,0.5152757597080752,-0.15344795425658905,0.8780450306083941,1
ABTB2,574.8036655720243,0.8967887214268652,0.8248779447560238,1.087177475319831,0.27695838340104884,1
ABTB3,465.37245641641954,-0.4230701806015819,0.47850241956144035,-0.8841547363320263,0.3766126887675967,1
ACAA1,1232.1276209604187,0.05632160909820421,0.21411426699735775,0.26304463447500787,0.7925161767668412,1
ACAA2,3241.895195779428,0.21183765472260926,0.20300083452966478,1.0435309550003509,0.2967024518808996,1
ACACA,191.10217145247103,0.8368480671767321,0.6989674630814061,1.1972632652848785,0.2312039577395169,1
ACACB,39.520520160110806,-0.4191861147038098,0.7667610294779434,-0.5466972088933845,0.5845867720661089,1
ACAD10,157.3421456754885,-0.08653041929744144,0.244737833612105,-0.35356372171940953,0.7236658662207787,1
ACAD11,57.58297111811224,-0.23804771340446623,0.46255433357596304,-0.5146373001505408,0.6068064949927431,1
ACAD8,359.1725305744048,0.3200629281596511,0.3907444980633119,0.8191105178601686,0.41272336157184863,1
ACAD9,684.9912542574933,0.2311086672519461,0.3657334315423439,0.631904680623075,0.5274491646689081,1
