gene,HCT 116,A549,PC-3,K-562,SK-N-SH,NCI-H929,Hep G2,MCF7,PANC-1
IQCD,1.63922753179709,1.02982742546753,0.815483618075051,1.0764222754586,1.05461234873723,0.226778547456496,0.539848657715052,1.785491963949,2.95286283024661
NDEL1,5.00027498753325,5.15377291560148,3.9031443467308,4.58920619232272,5.09616906683425,4.32403289351767,5.33296924183049,5.02266963764723,4.93433249669803
CENPV,6.22448602961223,6.6995377518467,1.42166765492975,5.44074959541219,6.35832416760381,3.96737152990351,6.65569957925237,2.26823974537409,5.54036210631028
CDH16,0.0198797943565755,0.0446193370767842,0.00976852388006539,0,0,0.0176169505944556,1.43297009386646,0.0202098813602534,0.0161996205128066
RRAD,0.741797447063493,1.4983223621477,0.211782256212989,0.434906265718467,2.36697399028138,0.177177922401991,0.678807492024768,0,3.11666417800218
CIAO2B,6.87955874503031,6.27681673274856,6.15262354429789,6.66411301703097,7.55346802557727,6.67333027851733,6.7938178688116,6.28631193962165,7.05339376416757
CFAP52,0.131896296014336,0.390369431729868,0.138928464823989,0,0.157818546277278,0.139202280290646,0,0.282903528013989,0.282238139806886
HSP90B1,9.80529084314559,9.31912564469082,9.25281915405975,9.44730643396253,9.5986369059646,9.0431913722768,9.66252952835121,9.03804103701151,8.92329182619273
MC4R,0.0783898615809602,0.0201472844558427,0,0.0242430738851182,0.421466230635712,0,0,0.0624685250610123,0
BLCAP,4.94315712389046,4.79098050474205,6.95119144681826,5.07608016949772,5.26100795040507,5.36570653300703,5.75552054607916,5.22856090595247,5.53048281059026
SERPINB12,0.0319399860485034,0,0.0240260034137625,0,0,0.3003065031842,0,0,0.00654506539589689
CHRFAM7A,1.29720315767813,1.64395313562413,0.748893976608007,0.0433627046998116,0.965532379658569,0.50422782425915,0.427254305360328,0,1.90631340214577
ATF7IP2,2.75205276207532,3.55369226046952,2.71536406569222,7.15186896165534,1.79085542822883,4.18835344592461,6.13958000137756,4.69611625888156,4.19600894444132
MMP10,0,0.449570882503457,0.532699964595994,0.0222129702483543,0.597925850178102,0.0127345649560651,0.0194030268046966,0.160624650609931,0.0155632228004146
TVP23A,0.407116679178963,0.296391621914311,0.276870616133771,0.624193561114477,2.094374588949,0.81187788714121,0.584768204706091,0.481583112080573,0.537383545688312
BEX3,7.12813871218176,7.58147176803605,6.95501050521529,0.930323295630689,8.22425738008828,4.82050066030711,6.21108814330407,6.99729240763651,5.72386978307632
TMPRSS5,0.301147455044894,0.064070244783466,0.175132377438199,0.269241454185343,0.108147048575588,0.608208388816306,0.252898817978659,0.212353930112602,0.238690269143392
COG1,4.68551411498376,3.75667106642198,4.2998454113727,3.97843361811629,5.1133962944459,3.60070982256944,4.04361572844846,4.31236748535643,4.22215538768
PLEKHA7,1.88038383039675,3.10610706839454,2.8995758938158,0.0880262309408965,0.308398156669022,3.37181949991031,3.41654117581102,3.1764887368598,1.56898547680448
ZNF606,0.0923725400895457,1.94118520617421,1.84727537863749,0.58344591227748,2.0367354122626,1.28501152853995,2.38205574137243,2.31935491894319,2.27868064261185
ZCCHC18,0.023224120187679,0.138444902950825,0.665983918372797,0.028089588560103,2.072634062936,0.0158543453797562,0.401137834822269,0.088136168091011,0.0507134280973769
B2M,9.42660232262132,9.19638573677458,10.3840390107251,10.2831925567676,9.76706878298382,12.045329655075,9.44518249509174,9.66130959109579,10.830744942425
ZNF592,3.98296620314535,3.36157046646921,2.25994734471069,3.60996766365073,3.66988849570319,3.46394935396903,3.25301958243657,4.17447033802826,4.16706081501987
GOLM2,5.94173312719319,5.288794110604,4.99602712342508,5.32702621697059,6.12060284727719,5.15601631374644,4.85862260298838,4.73370683580943,5.63112174830181
HTR3A,0.0173147796863298,0.0148551501991975,0,0.0491400285657779,0,0,0,0.0413859828161976,0.0316280979075098
NNMT,0.181617820571335,7.62481738392727,3.04462143521321,3.58581584286485,4.76673295849538,0.224199604169713,0.0592168165537986,0.11684779233179,0.706170690344847
ACSM1,0.0449955540911555,0,0.0849432243368784,1.90259459245924,0,0.0521849331607228,0.570811661615307,0.0556163211039698,0
AP1G1,6.13566414507335,5.76190488207342,3.93774926931933,5.06847734931284,5.42219262618972,4.90362641490099,5.35721416329871,6.27269696145146,5.23118661322787
SLFN5,2.35481603267872,2.13657859095223,2.55386425265744,0.839602496426936,3.06511213360396,1.70980232669712,0.356727532769991,0.725096325109747,1.55411728960057
CATSPER2,1.88795021831173,0.434122712139184,1.24586678504156,2.44767704788946,1.2114047525461,1.47979448885125,0.301450686496025,1.93988852317919,1.10266484936924
BMERB1,4.45315537844787,4.64927629964904,2.24199268026593,1.7942162147358,4.75505313541903,2.08615533696014,0.712654763569421,3.44020541674361,6.17933786870128
MARF1,4.05914758103893,3.36949998561392,2.51280839920447,4.70264092238456,4.13000830410861,3.37012102694572,3.78066705365336,3.9085535451057,4.17152710603881
SAAL1,6.06230523273964,5.87497643111278,4.65148802249576,5.14677739640424,5.24369573524261,4.6758667293991,4.34814033541129,4.15858747331666,4.82707716674325
YPEL4,0.0935858659109086,0.157135573900535,0.253869490349834,1.42277121932047,1.02749380228029,0.325736395583541,0,0.00609403915456739,0.0964156963378704
PPIB,9.1537800076432,9.39341620047155,8.93221475196839,9.29242977335332,9.41645765743458,9.44620245871684,9.50318174691095,9.88297311978831,8.99064859545339
LDHC,0.132430756232177,0.376679347280564,0.169483789898918,0,0.137931022753965,0,0,0.0709594232770812,0.341738732139247
CIAO2A,7.09267258488649,7.12117085541342,5.46645419507594,7.55242318445952,6.27657668907466,6.83320635997039,6.42151618540586,6.92561971200294,6.94300704882617
LDHAL6A,0.0495973135386747,0,0.0404520171438368,0.0550234647704886,0.265252046406816,0.083879152417275,0.0623676676815871,0,0.0347115565403935
FAM111A,4.7298192066753,3.48667576336935,4.09377142695575,4.63260558053648,2.66467169817378,4.04618544608809,2.47544291750324,4.05207674443879,4.54500460365815
PCLAF,7.60730811827056,7.81283832241963,6.14498446913495,8.20951672584413,6.76014109028739,7.07100105545336,6.52839472168969,8.03625604991478,7.89816601928666
KIF7,0.887595454198588,2.12741537340141,2.81892212137465,2.00139152940945,3.50482375358243,2.16901421313751,2.49344239114641,0.844886953647946,1.73208247293571
LDHD,0.674429013164203,0.688103353103741,0.7970254327036,0.68386619956542,0.184598953574508,1.49565935060056,2.4214576129263,2.72090444592063,0.756824328685575
PLIN1,0.0972588439746834,0.105578855678654,0.173554740608718,0,0.0871206273482592,0.0122826089522966,0.518046604552081,0.247195957543332,0.0527358392495747
