File	TF	CellLine	Assay	Target	Lab	OutputType
ENCFF960NGN	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF961GMP	SRF	Ishikawa	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF961HAC	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF961VDA	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF962HQK	SREBF1	MCF-7	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF962JTY	SREBF1	K562	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF963FVR	CEBPB	HCT116	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF963MTR	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF963REE	RARA	HepG2	TF ChIP-seq	RARA-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF963XUA	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF964JXI	RXRA	HepG2	TF ChIP-seq	RXRA-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF964MUO	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF966NAL	SPI1	HL-60	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF967HGY	MYC	A549	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF967VSP	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF968MPT	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF968SJR	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF970NGB	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF970ORV	CEBPB	Ishikawa	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF970QKS	CREB1	K562	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF970YIG	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF971DIX	SP1	A549	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF971JPI	MYC	HepG2	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF972SKW	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF975EVE	CREB1	K562	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF975OUG	RUNX1	K562	TF ChIP-seq	RUNX1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF976VQH	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF976ZDJ	RXRA	HepG2	TF ChIP-seq	RXRA-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF977BLL	CREB1	K562	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF979OOW	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF982LCY	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF983UDO	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF983YAM	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF984FGT	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF985TSH	SREBF1	K562	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF987HSI	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF987QLI	TCF12	MCF-7	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF987YZL	TCF4	SK-N-SH	TF ChIP-seq	TCF4-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF988CGH	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF988VRI	TCF3	HepG2	TF ChIP-seq	TCF3-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF989TZU	TCF12	Ishikawa	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF990CFV	POU5F1	K562	TF ChIP-seq	POU5F1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF990HAQ	SP1	MCF-7	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF992CFH	CEBPB	Ishikawa	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF992GNX	TCF3	K562	TF ChIP-seq	TCF3-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF992YKP	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF993SCW	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF994BNZ	SP1	A549	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF994TVF	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF994XAI	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF995JQC	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF997NWM	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF997OKQ	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF998DSZ	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF998VAV	RXRB	HepG2	TF ChIP-seq	RXRB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF998YJY	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF999TKB	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
