File	TF	CellLine	Assay	Target	Lab	OutputType
ENCFF714SXQ	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF715UBX	RXRA	HepG2	TF ChIP-seq	RXRA-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF716FAV	CREB1	A549	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	pseudoreplicated IDR thresholded peaks
ENCFF716GBZ	SREBF1	K562	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF716JKY	CEBPB	MCF-7	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF716OTE	SRF	K562	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF716YFU	TCF4	SK-N-SH	TF ChIP-seq	TCF4-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF717BTK	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF717JGJ	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF717WWT	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF718MRJ	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF719FJX	SP1	MCF-7	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF720APP	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF720GJZ	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF720NAW	CREB1	Ishikawa	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF721EDF	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF721GUV	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF721HDQ	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF721KHE	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF721SBW	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF721SZO	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF723DZK	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF723FPE	TCF12	SK-N-SH	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF723HSS	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF723QGS	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF724DNU	POU5F1	K562	TF ChIP-seq	POU5F1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF724VUC	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF724XGS	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF725XGY	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF726YHM	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF727HFS	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF728OZD	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF728VLI	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF730DJF	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF730MAR	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF731OHW	CREB1	K562	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF732KKY	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF732YAK	SREBF1	A549	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF734WVJ	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
