"CAR_group","n_cells","S_mean","G2M_mean","NKG2DL_mean","S_z","G2M_z","NKG2DL_z","CD4-CM","CD4-EM","CD4-Naive","CD8-CM","CD8-EM","CD8-Naive","CD8-TEMRA","gdT","MAIT","Treg","radius_fixed"
"4-1BB-FCER1G",173,-0.0578631194925581,-0.0372473135654879,0.0244056960702804,-0.14111336202859,0.1815832837173,-0.697171451450083,0,0,0,0.092485549132948,0,0,0,0,0,0,0.24
"4-1BB-FCER1G",173,-0.0578631194925581,-0.0372473135654879,0.0244056960702804,-0.14111336202859,0.1815832837173,-0.697171451450083,0,0,0,0,0.0115606936416185,0,0,0.0115606936416185,0,0,0.24
"4-1BB-FCER1G",173,-0.0578631194925581,-0.0372473135654879,0.0244056960702804,-0.14111336202859,0.1815832837173,-0.697171451450083,0,0,0,0,0,0.0173410404624277,0,0,0,0.0173410404624277,0.24
"4-1BB-FCER1G",173,-0.0578631194925581,-0.0372473135654879,0.0244056960702804,-0.14111336202859,0.1815832837173,-0.697171451450083,0,0,0,0,0,0,0.0809248554913295,0,0,0,0.24
"4-1BB-FCER1G",173,-0.0578631194925581,-0.0372473135654879,0.0244056960702804,-0.14111336202859,0.1815832837173,-0.697171451450083,0,0,0,0,0,0,0,0,0.00578034682080925,0,0.24
"CD223-CD79B",127,-0.206817563239699,-0.203391750811317,0.014246802588575,-1.57767413321992,-1.53661417701376,-2.1535860307366,0.188976377952756,0,0,0,0,0,0,0,0,0,0.24
"CD223-CD79B",127,-0.206817563239699,-0.203391750811317,0.014246802588575,-1.57767413321992,-1.53661417701376,-2.1535860307366,0,0.102362204724409,0,0,0,0,0,0,0,0.102362204724409,0.24
"CD223-CD79B",127,-0.206817563239699,-0.203391750811317,0.014246802588575,-1.57767413321992,-1.53661417701376,-2.1535860307366,0,0,0.259842519685039,0,0,0,0,0,0,0,0.24
"CD223-CD79B",127,-0.206817563239699,-0.203391750811317,0.014246802588575,-1.57767413321992,-1.53661417701376,-2.1535860307366,0,0,0,0.149606299212598,0,0.149606299212598,0,0,0,0,0.24
"CD223-CD79B",127,-0.206817563239699,-0.203391750811317,0.014246802588575,-1.57767413321992,-1.53661417701376,-2.1535860307366,0,0,0,0,0.031496062992126,0,0,0,0,0,0.24
"CD223-CD79B",127,-0.206817563239699,-0.203391750811317,0.014246802588575,-1.57767413321992,-1.53661417701376,-2.1535860307366,0,0,0,0,0,0,0.015748031496063,0,0,0,0.24
"CD223-FCER1G",181,-0.155658760182342,-0.137862507620125,0.0257871171049968,-1.08428348488143,-0.858937685876458,-0.499126089647906,0.0883977900552486,0,0,0,0,0,0,0,0,0,0.24
