DotPlot_Group,gene,avg_exp,pct_exp,avg_exp_scaled,gene_group
TIM1-FCER1G,KLRD1,0.04349326546896743,8.383233532934131,-0.8759681608681615,Cytotoxicity
TIM1-FCER1G,KLRG1,0.030899903201886812,7.18562874251497,-0.6949764687151135,Cytotoxicity
TIM1-FCER1G,KLRK1,0.0018355246784781372,0.5988023952095809,-0.4978099703454868,Cytotoxicity
TIM1-FCER1G,NKG7,0.43761031186696675,43.712574850299404,-1.6818843361331703,Cytotoxicity
TIM1-FCER1G,PRF1,0.39749996267029514,61.67664670658682,-0.7734431579863246,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,CRTAM,0.007695346860186014,1.1194029850746268,-1.0673958820774632,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,DUSP4,0.2845336123997559,36.16010854816825,-1.6510033578223213,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,ID3,0.015431148528162533,3.2564450474898234,-1.5377418339447373,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,IFNG,0.20712232083796203,25.067842605156038,-0.3886399202376389,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,IL2RA,0.2346222755998729,28.527815468113975,-2.4110898921420545,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,LAIR2,0.0035029454543352196,0.5427408412483039,-0.6904105540742079,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,LAYN,9.010834120603648e-4,0.10176390773405698,-0.8071972281200426,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,NPW,0.001889864202600026,0.5427408412483039,-1.040180100489695,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,RGS16,0.0980828180060807,14.213025780189959,-1.7448313396738537,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,TNFRSF18,0.05396799824848413,7.021709633649932,-1.0788333409385225,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,TNFRSF4,0.05353391581686805,6.7842605156037985,-0.4474856554560318,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,TNFRSF8,0.030820953405248697,5.868385345997286,-1.323214115793834,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,TNFRSF9,0.009600210425698601,1.8317503392130257,-0.9211169283867985,Activation
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,TNFSF13B,0.056831619939308596,7.598371777476255,-1.1409722362342367,Activation
<span style='color:#E64B35;'>CD223-CD79B</span>,CRTAM,0.03829972984493937,4.724409448818897,-0.4042444101291693,Activation
<span style='color:#E64B35;'>CD223-CD79B</span>,DUSP4,0.6222761359609932,59.055118110236215,-0.5256503236609812,Activation
<span style='color:#E64B35;'>CD223-CD79B</span>,ID3,0.25203680837342396,31.496062992125985,-0.510553888432709,Activation
<span style='color:#E64B35;'>CD223-CD79B</span>,IFNG,0.16991854111272892,16.535433070866144,-0.5876756195098898,Activation
