"Program","Program_clean","Gene","rho","p_value","n_cells","FDR"
"TCAT_CellCycle-Late-S","CellCycle-Late-S","NKG2DL_sum",0.214876438178627,7.301393523315e-74,6995,7.66646319948075e-72
"TCAT_TEMRA","TEMRA","MICA",-0.0174729358472237,0.143955385207242,6995,0.225483579411356
"TCAT_TEMRA","TEMRA","MICB",0.0131370881471932,0.271948652421082,6995,0.385873087894778
"TCAT_TEMRA","TEMRA","ULBP1",-0.007638971495773,0.522960172106313,6995,0.61697548394565
"TCAT_TEMRA","TEMRA","ULBP2",-0.0208547178242993,0.0811441719330736,6995,0.136731752827307
"TCAT_TEMRA","TEMRA","ULBP3",0.140067594832285,5.52753463065648e-32,6995,1.28975808048651e-30
"TCAT_TEMRA","TEMRA","NKG2DL_sum",0.0263054625270406,0.0278016291024573,6995,0.0561379049184235
"TCAT_CD4-CM","CD4-CM","MICA",-0.00603842414787477,0.613597681983373,6995,0.691975602338906
"TCAT_CD4-CM","CD4-CM","MICB",-0.0461314486697653,0.000113563284534934,6995,0.000411177409523037
"TCAT_CD4-CM","CD4-CM","ULBP1",0.00373718565800636,0.754653779634344,6995,0.792386468616061
"TCAT_CD4-CM","CD4-CM","ULBP2",0.0112100914801043,0.348537202426828,6995,0.454613742295862
"TCAT_CD4-CM","CD4-CM","ULBP3",-0.133589833170064,3.20646254096703e-29,6995,6.1214284873007e-28
"TCAT_CD4-CM","CD4-CM","NKG2DL_sum",-0.0529885802433884,9.24653697438929e-06,6995,3.80739757768971e-05
"TCAT_IEG","IEG","MICA",0.0297831296231104,0.0127365227356666,6995,0.0297185530498887
"TCAT_IEG","IEG","MICB",-0.0114036623204445,0.340276744094503,6995,0.449422114841796
"TCAT_IEG","IEG","ULBP1",-0.00843445632281094,0.480616313471329,6995,0.573462646755563
"TCAT_IEG","IEG","ULBP2",-0.00449758689197291,0.706845989885723,6995,0.749685140787888
"TCAT_IEG","IEG","ULBP3",-0.150982184254146,6.05359522641379e-37,6995,1.81607856792414e-35
"TCAT_IEG","IEG","NKG2DL_sum",-0.0100746602951812,0.399521424589147,6995,0.490640345986672
"TCAT_CD8-EM","CD8-EM","MICA",0.00518820173991478,0.664399971921109,6995,0.722922249240585
"TCAT_CD8-EM","CD8-EM","MICB",0.0445342130439489,0.00019465702819795,6995,0.000653407761062365
"TCAT_CD8-EM","CD8-EM","ULBP1",0.00846171005462943,0.479199433413391,6995,0.573462646755563
"TCAT_CD8-EM","CD8-EM","ULBP2",-0.0196382226689347,0.100521733621788,6995,0.166217039847051
"TCAT_CD8-EM","CD8-EM","ULBP3",0.0259493502391878,0.0299856070816951,6995,0.0594054479920374
"TCAT_CD8-EM","CD8-EM","NKG2DL_sum",0.0458430038910645,0.000125328482995102,6995,0.000446084430999515
"TCAT_IEG2","IEG2","MICA",0.032515555482654,0.00653396118517281,6995,0.016334902962932
"TCAT_IEG2","IEG2","MICB",-0.0178118365587046,0.136338712410073,6995,0.215271651173799
