ModelID	MICA	MICB	ULBP1	ULBP2	ULBP3	RAET1E	RAET1G	RAET1L	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype
ACH-001606	0.163114714064514	-0.20600492734577	0.00927039143978024	-0.0395584340728674	-0.097801593341397	0.278443677143593	0.0246721837162238	0.0385245229128853	no.11	NO11	NO11_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma
ACH-001626	0.223774291803224	-0.18733622250129	0.184660606663728		0.0200974288458795	0.17430069408828			OSC-20	OSC20	OSC20_UPPER_AERODIGESTIVE_TRACT	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma
ACH-001627	0.0461158801962373	-0.173398703621486	0.0318138050041288	-0.108350546649354	-0.163047079241737	0.113731160430223	0.0112482985530295	-0.10420556327186	P4E6	P4E6	P4E6_PROSTATE	Prostate	Non-Cancerous	Immortalized Epithelial Cells, Prostate
ACH-001655	-0.039643422095315	0.0396677016284256	0.0995953495988059	-0.129786788645201	0.258333361068816	0.190935543138924	-0.0118844443156042	-0.0284927866680842	SKN	SKN	SKN_ENDOMETRIUM	Uterus	Uterine Sarcoma/Mesenchymal	Uterine Leiomyosarcoma
ACH-001677	-0.099765585700143	-0.205694087723048	0.412372394753923	0.309135085053658	0.397262917657352	0.102753096045405	0.0324613864688005	-0.0993298870147017	U-2904	U2904	U2904_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoid	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS
ACH-001695	0.0919749090296039	-0.289595504071565	0.0993475615578529	-0.228139136613137	0.0316842064126059	0.146494472516207	-0.113293543794597	-0.0942811640898602	UPCI-SCC-099	UPCISCC099	UPCISCC099_UPPER_AERODIGESTIVE_TRACT	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma
ACH-001858	-0.00447138385421267	-0.117401203097925	0.133939686996345	-0.0934243046857457	-0.0645835972935018	0.179798468704913	-0.00980171885527439	-0.0997896674930448	SSP-25	SSP25	SSP25_BILIARY_TRACT	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma
ACH-001991	0.221144247556754	0.131913327402281	0.0439221698889307	-0.0200795829255843	0.273486085313915	0.0217823696115485	-0.0435028679673643	-0.0630684714159709	NZOV9	NZOV9	NZOV9_OVARY	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Endometrioid Ovarian Cancer
ACH-002024	0.107119723910882	0.0175452610165813	-0.0446810404518616	-0.118741662488954	-0.463787930269287	0.105796002872226	0.257583581300788	-0.0857060082969919	ECC4	ECC4	ECC4_LARGE_INTESTINE	Bowel	Colorectal Adenocarcinoma	Rectal Adenocarcinoma
ACH-002027	0.20954070771299	-0.126663517344348	0.201961262865415	-0.133573845288946	-0.271286191604834	0.225231069250161	-0.0879994836764849	-0.0249756673432515	HOUA-I	HOUAI	HOUAI_ENDOMETRIUM	Uterus	Endometrial Carcinoma	Endometrial Carcinoma
ACH-002060	0.145367467225528	-0.154423686974563	0.259265991876495	-0.25616772752121	0.364535718747195	0.226124378919323	-0.0859221877756779	0.105070317094831	MY	MY	MY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Myeloid	Acute Leukemias of Ambiguous Lineage	Acute Leukemias of Ambiguous Lineage
ACH-002062	-0.0545120501918892	-0.105520826586586	0.0293298095627188	-0.416633260698013	0.10379138439587	0.213156535761642	-0.184346058789438	-0.140996259301277	SLVL	SLVL	SLVL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoid	Mature B-Cell Neoplasms	Splenic Marginal Zone Lymphoma
ACH-002067	0.097511745489893	-0.095002658582139	0.258334132290067	0.0222331481206084	-0.117618428807998	0.0319399468591851	-0.284850085391712	-0.216828733043222	NOS-1	NOS1	NOS1_BONE	Bone	Osteosarcoma	Osteosarcoma
ACH-002141	-0.06649149473988	-0.118908938162223	-0.0375877635246496		0.155292080259877	0.0351752561876013			HSC-39	HSC39	HSC39_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Signet Ring Cell Carcinoma of the Stomach
ACH-002229	0.151368119229565	-0.195161165020167	-0.0218543670409184		-0.100063007756627	-0.0185777817131768			D-502MG	D502MG	D502MG_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma
ACH-002251	-0.0645150177898977	-0.189694242224727	-0.0268872800604097		0.060887203391345	0.136540690319543			JHU-029	JHU029	JHU029_UPPER_AERODIGESTIVE_TRACT	Head and Neck	Head and Neck Squamous Cell Carcinoma	Larynx Squamous Cell Carcinoma
ACH-002265	0.329969038916058	-0.323590015748826	0.0596127758131973		0.0111899921940008	-0.0124326727729454			LB771-HNC	LB771HNC	LB771HNC_UPPER_AERODIGESTIVE_TRACT	Head and Neck	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma
ACH-002291	0.138057394446246	-0.256521683859761	0.00217851691929284	0.276547106422424	-0.0542291536263034	0.225197990616195	-0.0394154170176005	0.075436090656126	NTERA-2 cl.D1	NTERA2CLD1	NTERA2CLD1_TESTIS	Testis	Non-Seminomatous Germ Cell Tumor	Embryonal Carcinoma
ACH-002297	0.153379978863717	-0.0811491016534734	0.0320808402774569		0.248221985064774	0.193547372046074			PCI-4B	PCI4B	PCI4B_UPPER_AERODIGESTIVE_TRACT	Head and Neck	Head and Neck Squamous Cell Carcinoma	Larynx Squamous Cell Carcinoma
ACH-002401	0.199627881508349	-0.168652645532688	0.139891533506937	-0.00930335143998974	-0.0848329230267603	0.0612866668657993	-0.0252580696152393	0.0835516125942333	21MT-2	21MT2	21MT2_BREAST	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma
ACH-002461	-0.031269543280809	-0.221181929438829	0.0205687475234687	-0.0477208115573082	0.0598826585290128	0.0821993566768017	-0.107553076672553	0.0279532731496571	RVH421 SKIN FV1	RVH421SKINFV1	RVH421_SKIN_FV1_RESISTANT	Skin	Melanoma	Melanoma
ACH-002538	0.0544789458335304	-0.271887239610146	-0.0285697751138709	0.101664754124505	-0.0573968249802929	0.240770540632914	-0.0431934000523045	-0.173922040954279	SNU-1235	SNU1235	SNU1235_LARGE_INTESTINE	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma
ACH-002708	-0.00344479036364297	-0.140712719794026	0.107023212694376	0.16095602299178	-0.146884468723226	0.184369069750668	0.00877117213465397	-0.00660699114982091	DL-221	DL221	DL221_SOFT_TISSUE	Soft Tissue	Liposarcoma	Myxoid/Round-Cell Liposarcoma
ACH-002710	0.056040311492243	-0.189494930508512	0.0978246914889627	-0.0849696320612329	-0.158559540124744	0.0423623368899221	-0.0681662961694075	-0.0321687401882653	MPNST-724	MPNST724	MPNST724_SOFT_TISSUE	Peripheral Nervous System	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor
ACH-002784	0.0715918303941486	-0.260558433829316	0.0604377161695853	0.0647685376449307	-0.124220734019069	0.150867115942391	-0.0616722206491075	-0.0609146581065796	NCC-UPS2-C1	NCCUPS2C1	NCCUPS2C1_SOFT_TISSUE	Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-003012	0.0982511606064119	-0.268754488374498	0.0249414702473095	-0.0852533834539332	-0.283304841101475	0.22384577365341	0.0428722304986445	-0.0508169995296541	A549_CRAF_KD	A549CRAFKD	A549H3_Lung	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma
ACH-003177	0.134754287265628	-0.130342116871652	0.0738961812946352	0.104160122212309	-0.0132587624621729	-0.182919999571095			NRH-UPS1	NRHUPS1	NRH-UPS1	Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-003189	-0.128215584389368	-0.291407684999215	0.13648043015628	-0.233335699308406	-0.101432006353943	0.179991375998135								
ACH-000015	0.155236915790566	-0.227044251718163	0.128948475897338	-0.0614118237201118	-0.0373632032314137	0.0870547095799796	-0.0665454622453036	0.0671019676046966	NCI-H1581	NCIH1581	NCIH1581_LUNG	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma
ACH-000018	0.0192966035745165	-0.0182618335051519	0.30431544817975	-0.139618473063654	0.156493288315415	0.204819061293602	-0.306862075879201	0.0738315752596204	T24	T24	T24_URINARY_TRACT	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma
ACH-000035	0.290558391893309	0.0919365613701699	0.197872075246132	-0.163228763379004	-0.0447624806371236	0.0671770241459937	0.340695222300848	-0.211547276920963	NCI-H1650	NCIH1650	NCIH1650_LUNG	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer
ACH-000036	-0.0305992766237447	-0.0286044901388462	0.214376532750862	-0.124709436492349	0.060462329647931	0.125087726705277	0.0437081577933549	-0.173001685502351	U343	U343	U343_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma
ACH-000055	0.152861235100299	-0.311043204330088	0.0849665392777284	0.120273846109591	-0.0589752083316848	-0.0429932794563252	0.0877466728661268	-0.00873622570071143	D283 Med	D283MED	D283MED_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Embryonal Tumor	Medulloblastoma
ACH-000067	0.251725944302149	-0.330684786413342	0.179975582123376	-0.309026594704352	-0.0488957127822587	0.156153749062226	-0.0253655270676681	-0.00131184796870186	Hs 683	HS683	HS683_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Oligodendroglioma
ACH-000076	-0.0193319544322878	-0.35283724760839	0.132187008324654	-0.287663506970538	-0.125276323963982	0.111148926910819	-0.0388504922996446	-0.0312307074830325	NCO2	NCO2	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+
ACH-000082	-0.105357582981557	-0.15874077732736	-0.0170652581469267	-0.138874104574323	0.0578123543231734	0.216692863940449	0.00361017634565627	-0.0866393011021708	G-292, clone A141B1	G292CLONEA141B1	G292CLONEA141B1_BONE	Bone	Osteosarcoma	Osteosarcoma
ACH-000087	-0.0359322879339372	-0.217921475178615	0.189040427459693	-0.314561506162766	-0.0862523131502956	0.318927369197474	-0.0839563885006392	0.00921424972611976	SK-ES-1	SKES1	SKES1_BONE	Bone	Ewing Sarcoma	Ewing Sarcoma
